row_label_raw,row_label_full,Ông Nguyễn Duyên Hiếu > Ông Phạm Việt Anh > Bà Nguyễn Linh Giang > Ông Mai Thế Toàn,Tổng Giám đốc (bố nhiệm ngày 15 tháng 6 năm 2021) > Tổng Giám đốc (miễn nhiệm ngày 15 tháng 6 năm 2021) > Phó Tổng Giám đốc (miễn nhiệm ngày 30 tháng 6 năm 2021) > Phó Tổng Giám đốc (miễn nhiệm ngày 05 tháng 8 năm 2021),numeric__Tổng Giám đốc (bố nhiệm ngày 15 tháng 6 năm 2021) > Tổng Giám đốc (miễn nhiệm ngày 15 tháng 6 năm 2021) > Phó Tổng Giám đốc (miễn nhiệm ngày 30 tháng 6 năm 2021) > Phó Tổng Giám đốc (miễn nhiệm ngày 05 tháng 8 năm 2021)
Ông Nguyễn Đình Thanh,Ông Nguyễn Đình Thanh,Ông Nguyễn Đình Thanh,Phó Tổng Giám đốc,
Ông Nguyễn Quốc Thịnh,Ông Nguyễn Quốc Thịnh,Ông Nguyễn Quốc Thịnh,Phó Tổng Giám đốc,
Ông Nguyễn Viết Long,Ông Nguyễn Viết Long,Ông Nguyễn Viết Long,Phó Tổng Giám đốc,
