row_label_raw,row_label_full,Bà Truong Thj Anh Đào > Bà Nguyễn Thj Kim Anh,Truong ban (bố nhiệm ngày 15 tháng 6 năm 2021) > Truong ban (miễn nhiệm ngày 15 tháng 6 năm 2021),numeric__Truong ban (bố nhiệm ngày 15 tháng 6 năm 2021) > Truong ban (miễn nhiệm ngày 15 tháng 6 năm 2021)
Ông Phạm Văn Hưng,Ông Phạm Văn Hưng,Ông Phạm Văn Hưng,Thành viên,
Ông Kim Kwang Hynk,Ông Kim Kwang Hynk,Ông Kim Kwang Hynk,Thành viên,
