row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm (phân loại lại),numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (phân loại lại)
C.,C.,C.,Nợ PHẢI TRẢ,300,,2.852.015.220.822,2.632.750.511.366,,300.0,,2852015220822.0,2632750511366.0
I.,I.,I.,Nợ ngắn hạn,310,,1.433.266.235.486,1.161.256.632.972,,310.0,,1433266235486.0,1161256632972.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,15,491.477.183.241,315.721.004.062,,311.0,15.0,491477183241.0,315721004062.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,1.250.000.000,1.511.857.860,,312.0,,1250000000.0,1511857860.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,16,32.452.606.909,52.663.831.520,,313.0,16.0,32452606909.0,52663831520.0
4.,4.,4.,Phải trả người lao động,314,,146.528.727.401,138.874.546.860,,314.0,,146528727401.0,138874546860.0
5.,5.,5.,Chỉ phí phải trả ngắn hạn,315,17,129.770.539.293,127.589.154.139,,315.0,17.0,129770539293.0,127589154139.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,,5.618.925.683,60.558.022,,318.0,,5618925683.0,60558022.0
7.,7.,7.,Phải trả ngắn hạn khác,319,18,86.218.250.710,80.193.375.533,,319.0,18.0,86218250710.0,80193375533.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,19,298.903.209.422,250.588.048.614,,320.0,19.0,298903209422.0,250588048614.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,20,133.939.727.809,91.689.887.304,,321.0,20.0,133939727809.0,91689887304.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,107.107.065.018,102.364.369.058,,322.0,,107107065018.0,102364369058.0
II.,II.,II.,Nợ dài hạn,330,,1.418.748.985.336,1.471.493.878.394,,330.0,,1418748985336.0,1471493878394.0
1.,1.,1.,Chỉ phí phải trả dài hạn,333,17,-,4.838.946.703,,333.0,17.0,,4838946703.0
2.,2.,2.,Doanh thu chưa thực hiện dài hạn,336,,17.500.058.333,-,,336.0,,17500058333.0,
3.,3.,3.,Phải trả dài hạn khác,337,18,448.803.033.600,448.803.033.600,,337.0,18.0,448803033600.0,448803033600.0
4.,4.,4.,Vay và nợ thuê tài chính dài hạn,338,19,921.256.566.403,941.357.098.091,,338.0,19.0,921256566403.0,941357098091.0
5.,5.,5.,Dự phòng phải trả dài hạn,342,20,31.189.327.000,76.494.800.000,,342.0,20.0,31189327000.0,76494800000.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,4.419.650.495.094,4.269.511.621.167,,400.0,,4419650495094.0,4269511621167.0
I.,I.,I.,Vốn chủ sở hữu,410,21,4.419.650.495.094,4.269.511.621.167,,410.0,21.0,4419650495094.0,4269511621167.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,3.236.512.460.000,3.236.512.460.000,,411.0,,3236512460000.0,3236512460000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,3.236.512.460.000,3.236.512.460.000,,,,3236512460000.0,3236512460000.0
2.,2.,2.,Quỹ đầu tư phát triển,418,,625.607.883.196,504.775.057.115,,418.0,,625607883196.0,504775057115.0
3.,3.,3.,Quỹ khác thuộc vốn chủ sở hữu,420,,44.843.396.730,44.843.396.730,,420.0,,44843396730.0,44843396730.0
4.,4.,4.,Lợi nhuận sau thuế chưa phân phối,421,,512.686.755.168,483.380.707.322,,421.0,,512686755168.0,483380707322.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,9.896.756.982,49.403.000,,,,9896756982.0,49403000.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,502.789.998.186,483.331.304.322,,,,502789998186.0,483331304322.0
,,,TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,7.271.665.715.916,6.902.262.132.533,,440.0,,7271665715916.0,6902262132533.0
