row_label_raw,row_label_full,col_0,Chi phí sửa chữa lớn tài sản cố định,Dự phòng khác,Tổng,numeric__Chi phí sửa chữa lớn tài sản cố định,numeric__Dự phòng khác,numeric__Tổng
,,,VND,VND,VND,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,167.411.264.287,773.423.017,168.184.687.304,167411264287.0,773423017.0,168184687304.0
Trích lập dự phòng,Trích lập dự phòng,Trích lập dự phòng,88.970.162.713,2.583.127.809,91.553.290.522,88970162713.0,2583127809.0,91553290522.0
Hoàn nhập dự phòng,Hoàn nhập dự phòng,Hoàn nhập dự phòng,(43.350.362.183),(773.423.017),(44.123.785.200),-43350362183.0,-773423017.0,-44123785200.0
Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,(50.485.137.817),-,(50.485.137.817),-50485137817.0,,-50485137817.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,162.545.927.000,2.583.127.809,165.129.054.809,162545927000.0,2583127809.0,165129054809.0
,,,,Số cuối năm,Số đầu năm,,,
,,,,VND,VND,,,
Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,,133.939.727.809,91.689.887.304,,133939727809.0,91689887304.0
Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,,31.189.327.000,76.494.800.000,,31189327000.0,76494800000.0
,,,,165.129.054.809,168.184.687.304,,165129054809.0,168184687304.0
