row_label_raw,row_label_full,col_0,Mã số,Số đã báo cáo > VND,Phân loại lại > VND,Số sau phân loại lại > VND,numeric__Mã số,numeric__Số đã báo cáo > VND,numeric__Phân loại lại > VND,numeric__Số sau phân loại lại > VND
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,431.166.572.062,(115.445.568.000),315.721.004.062,311.0,431166572062.0,-115445568000.0,315721004062.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,110.400.591.792,17.188.562.347,127.589.154.139,315.0,110400591792.0,17188562347.0,127589154139.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,198.709.659.480,(118.516.283.947),80.193.375.533,319.0,198709659480.0,-118516283947.0,80193375533.0
Phải trả người bán dài hạn,Phải trả người bán dài hạn,Phải trả người bán dài hạn,331,202.029.744.000,(202.029.744.000),-,331.0,202029744000.0,-202029744000.0,
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,337,30.000.000.000,418.803.033.600,448.803.033.600,337.0,30000000000.0,418803033600.0,448803033600.0
