row_label_raw,row_label_full,MINH BÁO CÁO TÀI CHÍNH RIÊNG (Tiếp theo),MINH BÁO CÁO TÀI CHÍNH RIÊNG (Tiếp theo)_1,MINH BÁO CÁO TÀI CHÍNH RIÊNG (Tiếp theo)_2,MINH BÁO CÁO TÀI CHÍNH RIÊNG (Tiếp theo)_3,MÃU SỐ B 09-DN,numeric__MINH BÁO CÁO TÀI CHÍNH RIÊNG (Tiếp theo)_1,numeric__MINH BÁO CÁO TÀI CHÍNH RIÊNG (Tiếp theo)_2,numeric__MINH BÁO CÁO TÀI CHÍNH RIÊNG (Tiếp theo)_3,numeric__MÃU SỐ B 09-DN
Báo cáo kết quả hoạt động kinh doanh riêng,Báo cáo kết quả hoạt động kinh doanh riêng,Báo cáo kết quả hoạt động kinh doanh riêng,Báo cáo kết quả hoạt động kinh doanh riêng,Báo cáo kết quả hoạt động kinh doanh riêng,Báo cáo kết quả hoạt động kinh doanh riêng,Báo cáo kết quả hoạt động kinh doanh riêng,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Dịch vụ vận tải,Dịch vụ hàng hải dầu khí,Thương mại,Tổng,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,VND,VND,VND,VND,,,,
Năm nay,Năm nay,Năm nay,,,,,,,,
Doanh thu,Doanh thu,Doanh thu,,,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,1.864.866.183.243,989.433.672.947,49.184.938.098,2.903.484.794.288,1864866183243.0,989433672947.0,49184938098.0,2903484794288.0
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,1.864.866.183.243,989.433.672.947,49.184.938.098,2.903.484.794.288,1864866183243.0,989433672947.0,49184938098.0,2903484794288.0
Giá vốn,Giá vốn,Giá vốn,,,,,,,,
Giá vốn từ bán hàng ra bên ngoài,Giá vốn > Giá vốn từ bán hàng ra bên ngoài,Giá vốn từ bán hàng ra bên ngoài,1.500.430.640.404,832.451.708.318,44.614.363.398,2.377.496.712.120,1500430640404.0,832451708318.0,44614363398.0,2377496712120.0
Tổng giá vốn,Giá vốn > Tổng giá vốn,Tổng giá vốn,1.500.430.640.404,832.451.708.318,44.614.363.398,2.377.496.712.120,1500430640404.0,832451708318.0,44614363398.0,2377496712120.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,364.435.542.839,156.981.964.629,4.570.574.700,525.988.082.168,364435542839.0,156981964629.0,4570574700.0,525988082168.0
Chi phí không phân bố,Kết quả hoạt động kinh doanh > Chi phí không phân bố,Chi phí không phân bố,,,,(83.633.421.244),,,,-83633421244.0
Lợi nhuận từ hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,442.354.660.924,,,,442354660924.0
Doanh thu hoạt động tài chính,Kết quả hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,233.638.246.239,,,,233638246239.0
Lợi nhuận khác,Kết quả hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,(25.700.372.157),,,,-25700372157.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,(50.270.028.523),,,,-50270028523.0
Lợi nhuận trước thuế,Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,600.022.506.483,,,,600022506483.0
Chi phí thuế thu nhập doanh nghiệp,Kết quả hoạt động kinh doanh > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,(102.288.806.238),,,,-102288806238.0
Thuế thu nhập doanh nghiệp hoãn lại,Kết quả hoạt động kinh doanh > Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,,,,5.056.297.941,,,,5056297941.0
Lợi nhuận trong năm,Kết quả hoạt động kinh doanh > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,502.789.998.186,,,,502789998186.0
Thông tin khác,Thông tin khác,Thông tin khác,,,,,,,,
Khấu hao,Thông tin khác > Khấu hao,Khấu hao,,,,202.569.100.133,,,,202569100133.0
