row_label_raw,row_label_full,Chỉ tiêu > Số cuối năm,Dịch vụ vận tải > VND,Dịch vụ hàng hải đầu khí > VND,Thương mại > VND,Tổng > VND,numeric__Dịch vụ vận tải > VND,numeric__Dịch vụ hàng hải đầu khí > VND,numeric__Thương mại > VND,numeric__Tổng > VND
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,4.144.128.830.260,582.834.107.245,1.993.713.037,4.728.956.650.542,4144128830260.0,582834107245.0,1993713037.0,4728956650542.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,2.542.709.065.374,,,,2542709065374.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,7.271.665.715.916,,,,7271665715916.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,2.074.016.689.095,278.982.668.804,685.040.125,2.353.684.398.024,2074016689095.0,278982668804.0,685040125.0,2353684398024.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,498.330.822.798,,,,498330822798.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,2.852.015.220.822,,,,2852015220822.0
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Dịch vụ vận tải,Dịch vụ hàng hải đầu khí,Thương mại,Tổng,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,VND,VND,VND,VND,,,,
Số đầu năm (Phân loại lại),Số đầu năm (Phân loại lại),Số đầu năm (Phân loại lại),,,,,,,,
Tài sản bộ phận,Số đầu năm (Phân loại lại) > Tài sản bộ phận,Tài sản bộ phận,4.124.364.910.889,461.144.908.534,19.527.564.320,4.605.037.383.743,4124364910889.0,461144908534.0,19527564320.0,4605037383743.0
Tài sản không phân bổ,Số đầu năm (Phân loại lại) > Tài sản không phân bổ,Tài sản không phân bổ,,,,2.297.224.748.790,,,,2297224748790.0
Tổng tài sản,Số đầu năm (Phân loại lại) > Tổng tài sản,Tổng tài sản,,,,6.902.262.132.533,,,,6902262132533.0
Nợ phải trả bộ phận,Số đầu năm (Phân loại lại) > Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.789.537.746.305,421.942.465.029,,2.211.480.211.334,1789537746305.0,421942465029.0,,2211480211334.0
Nợ phải trả không phân bổ,Số đầu năm (Phân loại lại) > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,421.270.300.032,,,,421270300032.0
Tổng nợ phải trả,Số đầu năm (Phân loại lại) > Tổng nợ phải trả,Tổng nợ phải trả,,,,2.632.750.511.366,,,,2632750511366.0
