row_label_raw,row_label_full,Dưới 1 nămVND,Từ 1 đến 5 nămVND,Trên 5 nămVND,TổngVND,numeric__Từ 1 đến 5 nămVND,numeric__Trên 5 nămVND,numeric__TổngVND
274.769.924.230,274.769.924.230,274.769.924.230,-,-,274.769.924.230,,,274769924230.0
942.866.022.429,942.866.022.429,942.866.022.429,175.851.784.164,-,1.118.717.806.593,175851784164.0,,1118717806593.0
1.387.300.000.000,1.387.300.000.000,1.387.300.000.000,-,45.937.767.300,1.433.237.767.300,,45937767300.0,1433237767300.0
2.604.935.946.659,2.604.935.946.659,2.604.935.946.659,175.851.784.164,45.937.767.300,2.826.725.498.123,175851784164.0,45937767300.0,2826725498123.0
298.903.209.422,298.903.209.422,298.903.209.422,835.485.166.762,85.771.399.641,1.220.159.775.825,835485166762.0,85771399641.0,1220159775825.0
574.337.779.851,574.337.779.851,574.337.779.851,362.218.857.600,86.584.176.000,1.023.140.813.451,362218857600.0,86584176000.0,1023140813451.0
129.770.539.293,129.770.539.293,129.770.539.293,-,-,129.770.539.293,,,129770539293.0
1.003.011.528.566,1.003.011.528.566,1.003.011.528.566,1.197.704.024.362,172.355.575.641,2.373.071.128.569,1197704024362.0,172355575641.0,2373071128569.0
1.601.924.418.093,1.601.924.418.093,1.601.924.418.093,(1.021.852.240.198),(126.417.808.341),453.654.369.554,-1021852240198.0,-126417808341.0,453654369554.0
Dưới 1 nămVND,Dưới 1 nămVND,Dưới 1 nămVND,Từ 1 đến 5 nămVND,Trên 5 nămVND,TổngVND,,,
690.630.196.183,Dưới 1 nămVND > 690.630.196.183,690.630.196.183,-,-,690.630.196.183,,,690630196183.0
694.158.312.524,Dưới 1 nămVND > 694.158.312.524,694.158.312.524,243.957.610.425,-,938.115.922.949,243957610425.0,,938115922949.0
1.412.300.000.000,Dưới 1 nămVND > 1.412.300.000.000,1.412.300.000.000,-,45.937.767.300,1.458.237.767.300,,45937767300.0,1458237767300.0
2.797.088.508.707,Dưới 1 nămVND > 2.797.088.508.707,2.797.088.508.707,243.957.610.425,45.937.767.300,3.086.983.886.432,243957610425.0,45937767300.0,3086983886432.0
250.588.048.614,Dưới 1 nămVND > 250.588.048.614,250.588.048.614,811.716.725.685,129.640.372.406,1.191.945.146.705,811716725685.0,129640372406.0,1191945146705.0
393.113.261.609,Dưới 1 nămVND > 393.113.261.609,393.113.261.609,303.357.465.600,145.445.568.000,841.916.295.209,303357465600.0,145445568000.0,841916295209.0
127.589.154.139,Dưới 1 nămVND > 127.589.154.139,127.589.154.139,4.838.946.703,-,132.428.100.842,4838946703.0,,132428100842.0
771.290.464.362,Dưới 1 nămVND > 771.290.464.362,771.290.464.362,1.119.913.137.988,275.085.940.406,2.166.289.542.756,1119913137988.0,275085940406.0,2166289542756.0
2.025.798.044.345,Dưới 1 nămVND > 2.025.798.044.345,2.025.798.044.345,(875.955.527.563),(229.148.173.106),920.694.343.676,-875955527563.0,-229148173106.0,920694343676.0
