row_label_raw,row_label_full,col_0,Năm 2023triệu đồng,Năm 2022triệu đồng,numeric__Năm 2023triệu đồng,numeric__Năm 2022triệu đồng
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,13.137.624,14.243.734,13137624.0,14243734.0
Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,2.736.134,1.697.649,2736134.0,1697649.0
Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,8.281,7.455,8281.0,7455.0
Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,177.958,287.663,177958.0,287663.0
Thu từ kinh doanh và dịch vụ bảo hiểm,Thu từ kinh doanh và dịch vụ bảo hiểm,Thu từ kinh doanh và dịch vụ bảo hiểm,8.228.367,10.184.960,8228367.0,10184960.0
Thu từ dịch vụ đai lý nhân ủy thác,Thu từ dịch vụ đai lý nhân ủy thác,Thu từ dịch vụ đai lý nhân ủy thác,23.764,40.575,23764.0,40575.0
"Thu từ xử lý nợ, thẩm định giá và khai thác tài sản","Thu từ xử lý nợ, thẩm định giá và khai thác tài sản","Thu từ xử lý nợ, thẩm định giá và khai thác tài sản",369.032,755.109,369032.0,755109.0
Thu từ hoạt động môi giới chứng khoán,Thu từ hoạt động môi giới chứng khoán,Thu từ hoạt động môi giới chứng khoán,614.616,716.773,614616.0,716773.0
Thu phí khác,Thu phí khác,Thu phí khác,979.472,553.550,979472.0,553550.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(9.052.399),(10.108.166),-9052399.0,-10108166.0
Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,(1.890.813),(1.307.277),-1890813.0,-1307277.0
Chi về nghiệp vụ ủy thác và đai lý,Chi về nghiệp vụ ủy thác và đai lý,Chi về nghiệp vụ ủy thác và đai lý,(15.091),(14.971),-15091.0,-14971.0
Chi về dịch vụ tư vấn,Chi về dịch vụ tư vấn,Chi về dịch vụ tư vấn,(23.486),(71),-23486.0,-71.0
Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,(1.389.164),(1.846.037),-1389164.0,-1846037.0
Chi về hoạt động ngân quỹ,Chi về hoạt động ngân quỹ,Chi về hoạt động ngân quỹ,(16.027),(20.621),-16027.0,-20621.0
Chi về hoạt động kinh doanh bảo hiểm,Chi về hoạt động kinh doanh bảo hiểm,Chi về hoạt động kinh doanh bảo hiểm,(5.164.963),(5.940.904),-5164963.0,-5940904.0
"Chi về xử lý nợ, thẩm định giá và khai thác tài sản","Chi về xử lý nợ, thẩm định giá và khai thác tài sản","Chi về xử lý nợ, thẩm định giá và khai thác tài sản",(263.166),(603.606),-263166.0,-603606.0
Chi về hoạt động môi giới chứng khoán,Chi về hoạt động môi giới chứng khoán,Chi về hoạt động môi giới chứng khoán,(124.391),(131.894),-124391.0,-131894.0
Chi khác,Chi khác,Chi khác,(165.298),(242.785),-165298.0,-242785.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,4.085.225,4.135.568,4085225.0,4135568.0
