row_label_raw,row_label_full,col_0,Năm 2023triệu đồng,Năm 2022triệu đồng,numeric__Năm 2023triệu đồng,numeric__Năm 2022triệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,69.143.043,52.485.812,69143043.0,52485812.0
Thu nhập lãi tiền gửi,Thu nhập lãi tiền gửi,Thu nhập lãi tiền gửi,1.123.493,1.336.194,1123493.0,1336194.0
Thu nhập lãi cho vay khách hàng và các TCTD khác,Thu nhập lãi cho vay khách hàng và các TCTD khác,Thu nhập lãi cho vay khách hàng và các TCTD khác,53.081.097,39.207.629,53081097.0,39207629.0
Thu lãi từ chứng khoán nợ,Thu lãi từ chứng khoán nợ,Thu lãi từ chứng khoán nợ,12.509.992,9.052.731,12509992.0,9052731.0
Thu nhập lãi từ nghiệp vụ mua bán nợ,Thu nhập lãi từ nghiệp vụ mua bán nợ,Thu nhập lãi từ nghiệp vụ mua bán nợ,174.326,-,174326.0,
Thu từ nghiệp vụ bảo lãnh,Thu từ nghiệp vụ bảo lãnh,Thu từ nghiệp vụ bảo lãnh,1.500.202,2.341.125,1500202.0,2341125.0
Thu khác từ hoạt động tin dụng,Thu khác từ hoạt động tin dụng,Thu khác từ hoạt động tin dụng,753.933,548.133,753933.0,548133.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,(30.459.195),(16.462.690),-30459195.0,-16462690.0
Trả lãi tiền gửi,Trả lãi tiền gửi,Trả lãi tiền gửi,(20.827.140),(10.889.240),-20827140.0,-10889240.0
Trả lãi tiền vay,Trả lãi tiền vay,Trả lãi tiền vay,(2.114.207),(1.357.188),-2114207.0,-1357188.0
Trả lãi phát hành giấy tờ có giá,Trả lãi phát hành giấy tờ có giá,Trả lãi phát hành giấy tờ có giá,(6.948.592),(3.601.384),-6948592.0,-3601384.0
Chi phí hoạt động tin dụng khác,Chi phí hoạt động tin dụng khác,Chi phí hoạt động tin dụng khác,(569.256),(614.878),-569256.0,-614878.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,38.683.848,36.023.122,38683848.0,36023122.0
