row_label_raw,row_label_full,col_0,Miền Bắc triệu đồng,Miền Trung triệu đồng,Miền Nam triệu đồng,Nước ngoài triệu đồng,Loại trừ triệu đồng,Tổng cộng triệu đồng,numeric__Miền Bắc triệu đồng,numeric__Miền Trung triệu đồng,numeric__Miền Nam triệu đồng,numeric__Nước ngoài triệu đồng,numeric__Loại trừ triệu đồng,numeric__Tổng cộng triệu đồng
I. Doanh thu,I. Doanh thu,I. Doanh thu,107.370.092,5.275.112,23.623.724,341.642,(60.158.320),76.452.250,107370092.0,5275112.0,23623724.0,341642.0,-60158320.0,76452250.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,77.740.608,4.380.080,21.117.926,282.958,(51.035.760),52.485.812,77740608.0,4380080.0,21117926.0,282958.0,-51035760.0,52485812.0
2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,16.357.772,129.362,766.916,14.032,(3.024.348),14.243.734,16357772.0,129362.0,766916.0,14032.0,-3024348.0,14243734.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,13.271.712,765.670,1.738.882,44.652,(6.098.212),9.722.704,13271712.0,765670.0,1738882.0,44652.0,-6098212.0,9722704.0
II. Chi phí,II. Chi phí,II. Chi phí,(84.676.455),(3.126.775),(15.056.082),(298.000),57.482.059,(45.675.253),-84676455.0,-3126775.0,-15056082.0,-298000.0,57482059.0,-45675253.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(53.685.695),(2.481.102),(11.716.326),(184.915),51.605.348,(16.462.690),-53685695.0,-2481102.0,-11716326.0,-184915.0,51605348.0,-16462690.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(1.201.186),(17.780),(54.057),(4.122),,(1.277.145),-1201186.0,-17780.0,-54057.0,-4122.0,,-1277145.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(29.789.574),(627.893),(3.285.699),(108.963),5.876.711,(27.935.418),-29789574.0,-627893.0,-3285699.0,-108963.0,5876711.0,-27935418.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,22.693.637,2.148.337,8.567.642,43.642,(2.676.261),30.776.997,22693637.0,2148337.0,8567642.0,43642.0,-2676261.0,30776997.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(8.743.894),(817.384),(1.159.178),(3.482),2.676.261,(8.047.677),-8743894.0,-817384.0,-1159178.0,-3482.0,2676261.0,-8047677.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,13.949.743,1.330.953,7.408.464,40.160,,22.729.320,13949743.0,1330953.0,7408464.0,40160.0,,22729320.0
