row_label_raw,row_label_full,col_0,Dư phòng chung triệu đồng,Dư phòng cụ thể triệu đồng,Tổng công triệu đồng,numeric__Dư phòng chung triệu đồng,numeric__Dư phòng cụ thể triệu đồng,numeric__Tổng công triệu đồng
Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,3.400.915,8.574.945,11.975.860,3400915.0,8574945.0,11975860.0
Trích lập trong năm(Thuyết minh số 36),Trích lập trong năm(Thuyết minh số 36),Trích lập trong năm(Thuyết minh số 36),1.150.455,4.964.448,6.114.903,1150455.0,4964448.0,6114903.0
Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,-,(6.622.439),(6.622.439),,-6622439.0,-6622439.0
Biển động khác,Biển động khác,Biển động khác,76,382,458,76.0,382.0,458.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,300,481,781,300.0,481.0,781.0
Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,4.551.746,6.917.817,11.469.563,4551746.0,6917817.0,11469563.0
