row_label_raw,row_label_full,col_0,Quá hạn triệu đồng,Không ảnh hưởng thay đổi lãi suất triệu đồng,Đến 1 tháng triệu đồng,Từ 1 - 3 tháng triệu đồng,Từ 3 - 6 tháng triệu đồng,Từ 6 - 12 tháng triệu đồng,Từ 1 - 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng công triệu đồng,numeric__Quá hạn triệu đồng,numeric__Không ảnh hưởng thay đổi lãi suất triệu đồng,numeric__Đến 1 tháng triệu đồng,numeric__Từ 1 - 3 tháng triệu đồng,numeric__Từ 3 - 6 tháng triệu đồng,numeric__Từ 6 - 12 tháng triệu đồng,numeric__Từ 1 - 5 năm triệu đồng,numeric__Trên 5 năm triệu đồng,numeric__Tổng công triệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quỹ","Tài sản > Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",-,3.744.100,-,-,-,-,-,-,3.744.100,,3744100.0,,,,,,,3744100.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,39.654.541,-,-,-,-,-,-,39.654.541,,39654541.0,,,,,,,39654541.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,17.023.955,11.398.690,2.547.018,619.001,1.349.241,-,32.937.905,,,17023955.0,11398690.0,2547018.0,619001.0,1349241.0,,32937905.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,36.412,4.071.058,-,-,-,-,-,4.107.470,,36412.0,4071058.0,,,,,,4107470.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,44.547,113.073,61.362,(108.163),(41.316),-,69.503,,,44547.0,113073.0,61362.0,-108163.0,-41316.0,,69503.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),7.870.682,-,166.270.566,197.708.854,13.714.246,19.982.364,55.528.784,518.884,461.594.380,7870682.0,,166270566.0,197708854.0,13714246.0,19982364.0,55528784.0,518884.0,461594380.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),50.000,-,18.365.457,42.039.723,7.401.255,43.819.692,17.099.555,31.205.871,159.981.553,50000.0,,18365457.0,42039723.0,7401255.0,43819692.0,17099555.0,31205871.0,159981553.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,768.763,-,-,-,-,-,-,768.763,,768763.0,,,,,,,768763.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,5.309.685,-,-,-,-,-,-,5.309.685,,5309685.0,,,,,,,5309685.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),243.071,32.889.563,-,-,-,-,-,-,33.132.634,243071.0,32889563.0,,,,,,,33132634.0
