row_label_raw,row_label_full,Số dư đầu năm(Hoàn nhập)/trích lập trong năm,Năm 2023triệu đồng > 231.500(56.715),Năm 2022triệu đồng > 59.513170.080,numeric__Năm 2023triệu đồng > 231.500(56.715),numeric__Năm 2022triệu đồng > 59.513170.080
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,141,1.907,141.0,1907.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,174.926,231.500,174926.0,231500.0
