row_label_raw,row_label_full,col_0,Tài chínhngán hàngtriệu đồng,Chứng khoán –Quản lý quỹtriệu đồng,Bảo hiểmtriệu đồng,Khai thác nợ -Quản lý tài sảntriệu đồng,Loại trừtriệu đồng,Tổng côngtriệu đồng,numeric__Tài chínhngán hàngtriệu đồng,numeric__Chứng khoán –Quản lý quỹtriệu đồng,numeric__Bảo hiểmtriệu đồng,numeric__Khai thác nợ -Quản lý tài sảntriệu đồng,numeric__Loại trừtriệu đồng,numeric__Tổng côngtriệu đồng
I. Doanh thu,I. Doanh thu,I. Doanh thu,121.862.279,2.297.982,10.985.730,1.464.579,(60.158.320),76.452.250,121862279.0,2297982.0,10985730.0,1464579.0,-60158320.0,76452250.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,101.836.040,976.732,675.351,33.449,(51.035.760),52.485.812,101836040.0,976732.0,675351.0,33449.0,-51035760.0,52485812.0
2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,4.738.996,857.362,10.245.545,1.426.179,(3.024.348),14.243.734,4738996.0,857362.0,10245545.0,1426179.0,-3024348.0,14243734.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,15.287.243,463.888,64.834,4.951,(6.098.212),9.722.704,15287243.0,463888.0,64834.0,4951.0,-6098212.0,9722704.0
II. Chỉ phí,II. Chỉ phí,II. Chỉ phí,(90.104.646),(1.477.794),(10.523.670),(1.051.202),57.482.059,(45.675.253),-90104646.0,-1477794.0,-10523670.0,-1051202.0,57482059.0,-45675253.0
1. Chỉ phí lãi,1. Chỉ phí lãi,1. Chỉ phí lãi,(67.686.094),(380.998),(946),-,51.605.348,(16.462.690),-67686094.0,-380998.0,-946.0,,51605348.0,-16462690.0
2. Chỉ phí khấu hao TSCĐ,2. Chỉ phí khấu hao TSCĐ,2. Chỉ phí khấu hao TSCĐ,(1.082.598),(51.181),(131.301),(12.065),-,(1.277.145),-1082598.0,-51181.0,-131301.0,-12065.0,,-1277145.0
3. Chỉ phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chỉ phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chỉ phí liên quan trực tiếp đến hoạt động kinh doanh,(21.335.954),(1.045.615),(10.391.423),(1.039.137),5.876.711,(27.935.418),-21335954.0,-1045615.0,-10391423.0,-1039137.0,5876711.0,-27935418.0
Kết quả kinh doanh trước chỉ phí dự phòng rủi ro,Kết quả kinh doanh trước chỉ phí dự phòng rủi ro,Kết quả kinh doanh trước chỉ phí dự phòng rủi ro,31.757.633,820.188,462.060,413.377,(2.676.261),30.776.997,31757633.0,820188.0,462060.0,413377.0,-2676261.0,30776997.0
Chỉ phí dự phòng rủi ro,Chỉ phí dự phòng rủi ro,Chỉ phí dự phòng rủi ro,(10.561.467),(2.135),(159.986),(350),2.676.261,(8.047.677),-10561467.0,-2135.0,-159986.0,-350.0,2676261.0,-8047677.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,21.196.166,818.053,302.074,413.027,-,22.729.320,21196166.0,818053.0,302074.0,413027.0,,22729320.0
