row_label_raw,row_label_full,col_0,col_1,31/12/2023triệu đồng,31/12/2022triệu đồng,numeric__col_1,numeric__31/12/2023triệu đồng,numeric__31/12/2022triệu đồng
1. Thủ lao Hội đồng Quản trị,1. Thủ lao Hội đồng Quản trị,1. Thủ lao Hội đồng Quản trị,Chức danh,15.153,14.404,,15153.0,14404.0
- Ông Lưu Trung Thái,- Ông Lưu Trung Thái,- Ông Lưu Trung Thái,Chủ tịch(bổ nhiệm từ ngày 12tháng 4 năm 2023),1.989,-,,1989.0,
- Ông Lê Hữu Đức,- Ông Lê Hữu Đức,- Ông Lê Hữu Đức,Chủ tịch(miễn nhiệm từ ngày 12tháng 4 năm 2023),958,2.534,,958.0,2534.0
- Bà Vũ Thị Hải Phương,- Bà Vũ Thị Hải Phương,- Bà Vũ Thị Hải Phương,Phó Chủ tịch HĐQT,2.576,2.510,,2576.0,2510.0
- Bà Nguyễn Thị Ngọc,- Bà Nguyễn Thị Ngọc,- Bà Nguyễn Thị Ngọc,Thành viên HĐQT,2.409,2.336,,2409.0,2336.0
- Bà Nguyễn Thị Thủy,- Bà Nguyễn Thị Thủy,- Bà Nguyễn Thị Thủy,Thành viên HĐQT,2.409,2.336,,2409.0,2336.0
- Ông Lê Việt Hải,- Ông Lê Việt Hải,- Ông Lê Việt Hải,Thành viên HĐQT,2.018,1.956,,2018.0,1956.0
- Ông Trần Trung Tín,- Ông Trần Trung Tín,- Ông Trần Trung Tín,Thành viên HĐQT độc lập,586,592,,586.0,592.0
- Thủ lao trả cho thành viên Hộiđồng Quản trị thông qua doanhnghiệp cử người đại diện,- Thủ lao trả cho thành viên Hộiđồng Quản trị thông qua doanhnghiệp cử người đại diện,- Thủ lao trả cho thành viên Hộiđồng Quản trị thông qua doanhnghiệp cử người đại diện,,2.208,2.140,,2208.0,2140.0
2. Ban Kiểm soát,2. Ban Kiểm soát,2. Ban Kiểm soát,,6.340,6.395,,6340.0,6395.0
3. Tiền lương của Tổng Giámđốc và các Phó Tổng Giám đốc,3. Tiền lương của Tổng Giámđốc và các Phó Tổng Giám đốc,3. Tiền lương của Tổng Giámđốc và các Phó Tổng Giám đốc,,16.391,15.184,,16391.0,15184.0
- Ông Lưu Trung Thái,- Ông Lưu Trung Thái,- Ông Lưu Trung Thái,Tổng giám đốc(miễn nhiệm từ ngày 12tháng 4 năm 2023),1.253,3.062,,1253.0,3062.0
- Ông Phạm Như Ánh,- Ông Phạm Như Ánh,- Ông Phạm Như Ánh,Tổng giám đốc(bổ nhiệm từ ngày 18tháng 5 năm 2023),2.688,-,,2688.0,
- Bà Nguyễn Minh Châu,- Bà Nguyễn Minh Châu,- Bà Nguyễn Minh Châu,Phó Tổng giám đốc,2.834,2.757,,2834.0,2757.0
- Ông Trần Minh Đạt,- Ông Trần Minh Đạt,- Ông Trần Minh Đạt,Phó Tổng giám đốc,2.364,2.301,,2364.0,2301.0
- Bà Phạm Thị Trung Hà,- Bà Phạm Thị Trung Hà,- Bà Phạm Thị Trung Hà,Phó Tổng giám đốc,2.761,2.688,,2761.0,2688.0
- Ông Hà Trọng Khiêm,- Ông Hà Trọng Khiêm,- Ông Hà Trọng Khiêm,Phó Tổng giám đốc,2.258,2.200,,2258.0,2200.0
- Ông Lê Quốc Minh,- Ông Lê Quốc Minh,- Ông Lê Quốc Minh,Phó Tổng giám đốc,2.233,2.176,,2233.0,2176.0
