row_label_raw,row_label_full,col_0,Thuyết minh,Năm 2023 triệu đồng,Năm 2022 triệu đồng,numeric__Thuyết minh,numeric__Năm 2023 triệu đồng,numeric__Năm 2022 triệu đồng
Thu nhập lãi và các khoản thu nhập tương tự Chi phí lãi và các chi phí tương tự,Thu nhập lãi và các khoản thu nhập tương tự Chi phí lãi và các chi phí tương tự,Thu nhập lãi và các khoản thu nhập tương tự Chi phí lãi và các chi phí tương tự,,69.143.043(30.459.195),52.485.812(16.462.690),,,
Thu nhập lãi thuần,Thu nhập lãi và các khoản thu nhập tương tự Chi phí lãi và các chi phí tương tự > Thu nhập lãi thuần,Thu nhập lãi thuần,28,38.683.848,36.023.122,28.0,38683848.0,36023122.0
Thu nhập từ hoạt động dịch vụ Chi phí hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ Chi phí hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ Chi phí hoạt động dịch vụ,,13.137.624(9.052.399),14.243.734(10.108.166),,,
Lãi thuần từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ Chi phí hoạt động dịch vụ > Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,29,4.085.225,4.135.568,29.0,4085225.0,4135568.0
Lãi thuần từ hoạt động kinh doanh ngoại hồi,Thu nhập từ hoạt động dịch vụ Chi phí hoạt động dịch vụ > Lãi thuần từ hoạt động kinh doanh ngoại hồi,Lãi thuần từ hoạt động kinh doanh ngoại hồi,30,1.209.825,1.703.960,30.0,1209825.0,1703960.0
Lãi thuần từ mua bán chứng khoán kinh doanh,Thu nhập từ hoạt động dịch vụ Chi phí hoạt động dịch vụ > Lãi thuần từ mua bán chứng khoán kinh doanh,Lãi thuần từ mua bán chứng khoán kinh doanh,31,541.566,141.128,31.0,541566.0,141128.0
Lãi thuần từ mua bán chứng khoán đầu tư và đầu tư dài hạn,Thu nhập từ hoạt động dịch vụ Chi phí hoạt động dịch vụ > Lãi thuần từ mua bán chứng khoán đầu tư và đầu tư dài hạn,Lãi thuần từ mua bán chứng khoán đầu tư và đầu tư dài hạn,32,300.404,1.315.248,32.0,300404.0,1315248.0
Thu nhập từ hoạt động khác Chi phí cho hoạt động khác,Thu nhập từ hoạt động khác Chi phí cho hoạt động khác,Thu nhập từ hoạt động khác Chi phí cho hoạt động khác,,3.457.702(1.029.591),3.025.807(884.149),,,
Lãi thuần từ hoạt động khác,Thu nhập từ hoạt động khác Chi phí cho hoạt động khác > Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,33,2.428.111,2.141.658,33.0,2428111.0,2141658.0
"Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ hoạt động khác Chi phí cho hoạt động khác > Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",34,57.083,131.941,34.0,57083.0,131941.0
TỔNG THU NHẬP HOẠT ĐỘNG,Thu nhập từ hoạt động khác Chi phí cho hoạt động khác > TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,,47.306.062,45.592.625,,47306062.0,45592625.0
TỔNG CHI PHÍ HOẠT ĐỘNG,Thu nhập từ hoạt động khác Chi phí cho hoạt động khác > TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,35,(14.912.941),(14.815.628),35.0,-14912941.0,-14815628.0
