row_label_raw,row_label_full,Tiền gửi tại Ngân hàng Nhà nước Việt Nam (i),31/12/2023triệu đồng > 64.940.204,31/12/2022triệu đồng > 38.747.172,numeric__31/12/2023triệu đồng > 64.940.204,numeric__31/12/2022triệu đồng > 38.747.172
- Bằng VND,- Bằng VND,- Bằng VND,55.547.807,29.975.504,55547807.0,29975504.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,9.392.397,8.771.668,9392397.0,8771668.0
Tiền gửi tại Ngân hàng Nhà nước Lào (ii),Tiền gửi tại Ngân hàng Nhà nước Lào (ii),Tiền gửi tại Ngân hàng Nhà nước Lào (ii),525.859,280.888,525859.0,280888.0
Tiền gửi tại Ngân hàng Quốc gia Campuchia (iii),Tiền gửi tại Ngân hàng Quốc gia Campuchia (iii),Tiền gửi tại Ngân hàng Quốc gia Campuchia (iii),855.589,626.481,855589.0,626481.0
,,,66.321.652,39.654.541,66321652.0,39654541.0
