row_label_raw,row_label_full,col_0,Số đầu năm,Phát sinh trong năm,Phát sinh trong năm_1,Số cuối năm,numeric__Số đầu năm,numeric__Phát sinh trong năm,numeric__Phát sinh trong năm_1,numeric__Số cuối năm
,,,Phải trả triệu đồng,Phát sinh tăng triệu đồng,Phát sinh giảm triệu đồng,Phải trả triệu đồng,,,,
Thuế GTGT,Thuế GTGT,Thuế GTGT,91.496,871.451,(851.083),111.864,91496.0,871451.0,-851083.0,111864.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,3.127.484,5.273.512,(5.078.090),3.322.906,3127484.0,5273512.0,-5078090.0,3322906.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,116.387,1.577.020,(1.588.716),104.691,116387.0,1577020.0,-1588716.0,104691.0
,,,3.335.367,7.721.983,(7.517.889),3.539.461,3335367.0,7721983.0,-7517889.0,3539461.0
Năm kết thúc ngày 31 tháng 12 năm 2022:,Năm kết thúc ngày 31 tháng 12 năm 2022:,Năm kết thúc ngày 31 tháng 12 năm 2022:,Năm kết thúc ngày 31 tháng 12 năm 2022:,Năm kết thúc ngày 31 tháng 12 năm 2022:,Năm kết thúc ngày 31 tháng 12 năm 2022:,Năm kết thúc ngày 31 tháng 12 năm 2022:,,,,
,,,Số dư đầu năm,Phát sinh trong năm,Phát sinh trong năm,Số dư cuối năm,,,,
,,,Phải trả triệu đồng,Phát sinh tăng triệu đồng,Phát sinh giảm triệu đồng,Phải trả triệu đồng,,,,
Thuế GTGT,Năm kết thúc ngày 31 tháng 12 năm 2022: > Thuế GTGT,Thuế GTGT,77.876,655.249,(641.629),91.496,77876.0,655249.0,-641629.0,91496.0
Thuế TNDN hiện hành,Năm kết thúc ngày 31 tháng 12 năm 2022: > Thuế TNDN hiện hành,Thuế TNDN hiện hành,901.387,4.598.186,(2.372.089),3.127.484,901387.0,4598186.0,-2372089.0,3127484.0
Trong đó điều chỉnh theo KTNN:,Trong đó điều chỉnh theo KTNN:,Trong đó điều chỉnh theo KTNN:,Trong đó điều chỉnh theo KTNN:,Trong đó điều chỉnh theo KTNN:,Trong đó điều chỉnh theo KTNN:,Trong đó điều chỉnh theo KTNN:,,,,
Thuế GTGT,Trong đó điều chỉnh theo KTNN: > Thuế GTGT,Thuế GTGT,-,69.454,(69.454),-,,69454.0,-69454.0,
Thuế TNDN,Trong đó điều chỉnh theo KTNN: > Thuế TNDN,Thuế TNDN,-,20.037,(20.037),-,,20037.0,-20037.0,
Các loại thuế khác,Trong đó điều chỉnh theo KTNN: > Các loại thuế khác,Các loại thuế khác,124.122,1.534.514,(1.542.249),116.387,124122.0,1534514.0,-1542249.0,116387.0
,,,1.103.385,6.787.949,(4.555.967),3.335.367,1103385.0,6787949.0,-4555967.0,3335367.0
