row_label_raw,row_label_full,col_0,31/12/2023triêu đồng,31/12/2022triêu đồng,numeric__31/12/2023triêu đồng,numeric__31/12/2022triêu đồng
Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,216.092.296,166.971.567,216092296.0,166971567.0
Bằng VND,Bằng VND,Bằng VND,197.782.244,152.272.328,197782244.0,152272328.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,18.310.052,14.699.239,18310052.0,14699239.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,339.421.432,263.452.170,339421432.0,263452170.0
Bằng VND,Bằng VND,Bằng VND,333.446.177,258.574.092,333446177.0,258574092.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,5.975.255,4.878.078,5975255.0,4878078.0
Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,3.263.844,2.827.115,3263844.0,2827115.0
Bằng VND,Bằng VND,Bằng VND,2.407.372,2.729.898,2407372.0,2729898.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,856.472,97.217,856472.0,97217.0
Tiền gửi kỳ quỹ,Tiền gửi kỳ quỹ,Tiền gửi kỳ quỹ,8.755.005,10.354.786,8755005.0,10354786.0
Bằng VND,Bằng VND,Bằng VND,6.768.913,7.535.183,6768913.0,7535183.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,1.986.092,2.819.603,1986092.0,2819603.0
,,,567.532.577,443.605.638,567532577.0,443605638.0
