row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2023,Tổng giá trị của hợp đồng theo tỷ giá ngày hiệu lực hợp đồng triệu đồng > Tại ngày 31 tháng 12 năm 2023,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày báo cáo) > Tài sản triệu đồng > Tại ngày 31 tháng 12 năm 2023,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày báo cáo) > Công nợ triệu đồng > Tại ngày 31 tháng 12 năm 2023,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày báo cáo) > Giá trị thuần triệu đồng > Tại ngày 31 tháng 12 năm 2023,numeric__Tổng giá trị của hợp đồng theo tỷ giá ngày hiệu lực hợp đồng triệu đồng > Tại ngày 31 tháng 12 năm 2023,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày báo cáo) > Tài sản triệu đồng > Tại ngày 31 tháng 12 năm 2023,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày báo cáo) > Công nợ triệu đồng > Tại ngày 31 tháng 12 năm 2023,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày báo cáo) > Giá trị thuần triệu đồng > Tại ngày 31 tháng 12 năm 2023
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,88.603.180,88.997.443,(89.061.891),(64.448),88603180.0,88997443.0,-89061891.0,-64448.0
Giao dịch hoàn đối tiền tệ,Giao dịch hoàn đối tiền tệ,Giao dịch hoàn đối tiền tệ,182.248.612,182.535.319,(182.329.577),205.742,182248612.0,182535319.0,-182329577.0,205742.0
,,,270.851.792,271.532.762,(271.391.468),141.294,270851792.0,271532762.0,-271391468.0,141294.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,,,,
Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2022 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,39.718.463,39.877.938,(39.757.159),120.779,39718463.0,39877938.0,-39757159.0,120779.0
Giao dịch hoàn đối tiền tệ,Tại ngày 31 tháng 12 năm 2022 > Giao dịch hoàn đối tiền tệ,Giao dịch hoàn đối tiền tệ,124.525.844,124.404.287,(124.455.563),(51.276),124525844.0,124404287.0,-124455563.0,-51276.0
,,,164.244.307,164.282.225,(164.212.722),69.503,164244307.0,164282225.0,-164212722.0,69503.0
