row_label_raw,row_label_full,col_0,Quá han triệu đồng,Không ảnh hưởng thay đổi lãi suất triệu đồng,Đến 1 tháng triệu đồng,Từ 1 - 3 tháng triệu đồng,Từ 3 - 6 tháng triệu đồng,Từ 6 - 12 tháng triệu đồng,Từ 1 - 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng công triệu đồng,numeric__Quá han triệu đồng,numeric__Không ảnh hưởng thay đổi lãi suất triệu đồng,numeric__Đến 1 tháng triệu đồng,numeric__Từ 1 - 3 tháng triệu đồng,numeric__Từ 3 - 6 tháng triệu đồng,numeric__Từ 6 - 12 tháng triệu đồng,numeric__Từ 1 - 5 năm triệu đồng,numeric__Trên 5 năm triệu đồng,numeric__Tổng công triệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,3.675.394,-,-,-,-,-,-,3.675.394,,3675394.0,,,,,,,3675394.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,66.321.652,-,-,-,-,-,-,66.321.652,,66321652.0,,,,,,,66321652.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,20.204.609,19.723.605,2.625.536,1.712.513,2.082.977,-,46.349.240,,,20204609.0,19723605.0,2625536.0,1712513.0,2082977.0,,46349240.0
Chủng khoản kinh doanh (*),Tài sản > Chủng khoản kinh doanh (*),Chủng khoản kinh doanh (*),-,156.220,44.095.180,-,-,-,-,-,44.251.400,,156220.0,44095180.0,,,,,,44251400.0
Các công cu tài chính phải sinh và các khoản nợ tài chính khác,Tài sản > Các công cu tài chính phải sinh và các khoản nợ tài chính khác,Các công cu tài chính phải sinh và các khoản nợ tài chính khác,-,-,22.776,113.886,76.643,(17.677),(54.334),-,141.294,,,22776.0,113886.0,76643.0,-17677.0,-54334.0,,141294.0
Cho vay khách hàng và mua nợ (*),Tài sản > Cho vay khách hàng và mua nợ (*),Cho vay khách hàng và mua nợ (*),20.529.823,-,191.791.810,188.804.735,100.268.536,71.592.654,38.984.461,925.674,612.897.693,20529823.0,,191791810.0,188804735.0,100268536.0,71592654.0,38984461.0,925674.0,612897693.0
Chủng khoản đầu tư (*),Tài sản > Chủng khoản đầu tư (*),Chủng khoản đầu tư (*),226.635,-,22.516.957,32.073.897,15.286.240,6.857.251,23.441.844,47.995.839,148.398.663,226635.0,,22516957.0,32073897.0,15286240.0,6857251.0,23441844.0,47995839.0,148398663.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,779.587,-,-,-,-,-,-,779.587,,779587.0,,,,,,,779587.0
Tải sản cố định và bất động sản đầu tư,Tài sản > Tải sản cố định và bất động sản đầu tư,Tải sản cố định và bất động sản đầu tư,-,5.094.480,-,-,-,-,-,-,5.094.480,,5094480.0,,,,,,,5094480.0
