row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,Phần mềm máy vi tính triệu đồng,TSCĐ vô hình khác triệu đồng,Tổng công triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__Phần mềm máy vi tính triệu đồng,numeric__TSCĐ vô hình khác triệu đồng,numeric__Tổng công triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.102.024,2.439.978,23.090,3.565.092,1102024.0,2439978.0,23090.0,3565092.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,51.153,585.625,195,636.973,51153.0,585625.0,195.0,636973.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,-,(32),(390),(422),,-32.0,-390.0,-422.0
Giảm khác trong năm,Nguyên giá > Giảm khác trong năm,Giảm khác trong năm,-,(5.631),-,(5.631),,-5631.0,,-5631.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,132,-,132,,132.0,,132.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.153.177,3.020.072,22.895,4.196.144,1153177.0,3020072.0,22895.0,4196144.0
Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,,,,
Số dư đầu năm,Giá trị hao mòn luỷ kế > Số dư đầu năm,Số dư đầu năm,218.797,1.719.202,11.146,1.949.145,218797.0,1719202.0,11146.0,1949145.0
Chi phí khấu hao trong năm,Giá trị hao mòn luỷ kế > Chi phí khấu hao trong năm,Chi phí khấu hao trong năm,19.906,552.051,4.585,576.542,19906.0,552051.0,4585.0,576542.0
Giảm trong năm,Giá trị hao mòn luỷ kế > Giảm trong năm,Giảm trong năm,-,(32),(390),(422),,-32.0,-390.0,-422.0
Tăng khác trong năm,Giá trị hao mòn luỷ kế > Tăng khác trong năm,Tăng khác trong năm,-,10.967,-,10.967,,10967.0,,10967.0
Chênh lệch tỷ giá,Giá trị hao mòn luỷ kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,130,-,130,,130.0,,130.0
Số dư cuối năm,Giá trị hao mòn luỷ kế > Số dư cuối năm,Số dư cuối năm,238.703,2.282.318,15.341,2.536.362,238703.0,2282318.0,15341.0,2536362.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,883.227,720.776,11.944,1.615.947,883227.0,720776.0,11944.0,1615947.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,914.474,737.754,7.554,1.659.782,914474.0,737754.0,7554.0,1659782.0
