row_label_raw,row_label_full,Số dư đầu năm > Trích lập trong năm (Thuyết minh 36) > Sử dụng dự phòng trong năm,Năm 2023triệu đồng > 695 > 4.632 > -,Năm 2022triệu đồng > 80.856 > 239 > (80.400),numeric__Năm 2023triệu đồng > 695 > 4.632 > -,numeric__Năm 2022triệu đồng > 80.856 > 239 > (80.400)
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,100,-,100.0,
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,5.427,695,5427.0,695.0
