row_label_raw,row_label_full,col_0,31/12/2023% /năm,31/12/2022% /năm,numeric__31/12/2023% /năm,numeric__31/12/2022% /năm
Cho vay bằng VND,Cho vay bằng VND,Cho vay bằng VND,"3,00 – 12,50","5,50 – 13,50",,
Cho vay bằng ngoại tệ,Cho vay bằng ngoại tệ,Cho vay bằng ngoại tệ,"3,50 – 8,00","4,00 – 8,50",,
Cho vay tiêu dùng cá nhân,Cho vay tiêu dùng cá nhân,Cho vay tiêu dùng cá nhân,"4,58 – 76,00","8,00 – 76,00",,
