row_label_raw,row_label_full,col_0,Miền Bắc triệu đồng,Miền Trung triệu đồng,Miền Nam triệu đồng,Nước ngoài triệu đồng,Loại trừ triệu đồng,Tổng công triệu đồng,numeric__Miền Bắc triệu đồng,numeric__Miền Trung triệu đồng,numeric__Miền Nam triệu đồng,numeric__Nước ngoài triệu đồng,numeric__Loại trừ triệu đồng,numeric__Tổng công triệu đồng
I. Doanh thu,I. Doanh thu,I. Doanh thu,147.470.124,6.961.415,30.889.777,510.220,(92.636.688),93.194.848,147470124.0,6961415.0,30889777.0,510220.0,-92636688.0,93194848.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,35.004.543,5.949.326,28.627.483,367.602,(805.911),69.143.043,35004543.0,5949326.0,28627483.0,367602.0,-805911.0,69143043.0
2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,14.726.867,149.000,844.524,26.643,(2.609.410),13.137.624,14726867.0,149000.0,844524.0,26643.0,-2609410.0,13137624.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,97.738.714,863.089,1.417.770,115.975,(89.221.367),10.914.181,97738714.0,863089.0,1417770.0,115975.0,-89221367.0,10914181.0
II. Chi phí,II. Chi phí,II. Chi phí,(127.482.803),(4.212.443),(21.287.446),(455.723),92.636.688,(60.801.727),-127482803.0,-4212443.0,-21287446.0,-455723.0,92636688.0,-60801727.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(10.474.540),(3.452.058),(17.709.805),(240.715),1.417.923,(30.459.195),-10474540.0,-3452058.0,-17709805.0,-240715.0,1417923.0,-30459195.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(1.365.638),(23.437),(66.219),(7.379),-,(1.462.673),-1365638.0,-23437.0,-66219.0,-7379.0,,-1462673.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(115.642.625),(736.948),(3.511.422),(207.629),91.218.765,(28.879.859),-115642625.0,-736948.0,-3511422.0,-207629.0,91218765.0,-28879859.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,19.987.321,2.748.972,9.602.331,54.497,-,32.393.121,19987321.0,2748972.0,9602331.0,54497.0,,32393121.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(1.887.383),(713.054),(3.467.768),(18.827),-,(6.087.032),-1887383.0,-713054.0,-3467768.0,-18827.0,,-6087032.0
Kết quả kinh doanh bộ phận (trước thuế),Kết quả kinh doanh bộ phận (trước thuế),Kết quả kinh doanh bộ phận (trước thuế),18.099.938,2.035.918,6.134.563,35.670,-,26.306.089,18099938.0,2035918.0,6134563.0,35670.0,,26306089.0
