row_label_raw,row_label_full,Bên liên quan > Công ty TNHHSài Gòn Ngày Mới,Mối quan hệ > Công ty con,Nội dung nghiệp vụ > Lãi cho vay,Năm nay > 2.621.061.751,Năm trước > 2.381.485.925,numeric__Mối quan hệ > Công ty con,numeric__Nội dung nghiệp vụ > Lãi cho vay,numeric__Năm nay > 2.621.061.751,numeric__Năm trước > 2.381.485.925
Công ty Cổ phầnĐầu tư vàNăng lượng Tái tạoHòa Bình,Công ty Cổ phầnĐầu tư vàNăng lượng Tái tạoHòa Bình,Công ty Cổ phầnĐầu tư vàNăng lượng Tái tạoHòa Bình,Công ty con,Lãi cho vayChi phí thầu phụ,701.043.6354.519.755,632.579.580-,,,7010436354519755.0,
Công ty TNHHTrư vấn Thiết kếHòa Bình,Công ty TNHHTrư vấn Thiết kếHòa Bình,Công ty TNHHTrư vấn Thiết kếHòa Bình,Công ty con,Chi phí thầu phụThu nhập cổ tứcCho thuếvăn phòngCung cấp dịchvụ xây dựng,654.974.999599.659.039533.085.632-,2.704.912.945764.294.072553.608.15230.000.000,,,,2.7049129457642942e+35
Ông Lê Việt Hải vàBà Bùi Ngọc Mai,Ông Lê Việt Hải vàBà Bùi Ngọc Mai,Ông Lê Việt Hải vàBà Bùi Ngọc Mai,Chủ tịch vàvợ chủ tịch,Mua hàng hóa bất động sản,-,120.000.000.000,,,,120000000000.0
Công ty Cổ phầnSản xuất vàTrang trí MộcHòa Bình,Công ty Cổ phầnSản xuất vàTrang trí MộcHòa Bình,Công ty Cổ phầnSản xuất vàTrang trí MộcHòa Bình,Công ty con,Mua vật tưChi phí thầu phụ,--,46.120.387.00031.795.902,,,,4.612038700031796e+18
Công ty Cổ phầnTiến PhátSanyo Homes,Công ty Cổ phầnTiến PhátSanyo Homes,Công ty Cổ phầnTiến PhátSanyo Homes,Công ty con,Cung cấp dịchvụ xây dựngPhạt chạm thanh toán,38.076.580.137-,27.523.052.2306.610.534.414,,,,2.7523052230661053e+20
Công ty TNHHTiến Phát Đông Bắc,Công ty TNHHTiến Phát Đông Bắc,Công ty TNHHTiến Phát Đông Bắc,Công ty con,Dịch vụxây dựng,-,17.833.560.121,,,,17833560121.0
Công ty Cổ phầnBất động sảnOkamura Sanyo,Công ty Cổ phầnBất động sảnOkamura Sanyo,Công ty Cổ phầnBất động sảnOkamura Sanyo,Công ty con,Thuê văn phòng,-,66.500.000,,,,66500000.0
