row_label_raw,row_label_full,Ngắn hạnĐầu tư nằm giữ đến ngày đáo hạn(Thuyết minh số 16.1) > Dài hạnĐầu tư vào các công ty con(Thuyết minh số 16.2) > Đầu tư vào các công ty liên kết(Thuyết minh số 16.3) > Đầu tư góp vốn vào các đơn vị khác(Thuyết minh số 16.4) > Trái phiếu (Thuyết minh số 16.5),Số cuối năm > 60.000.000.00060.000.000.000 > 922.005.359.051735.375.439.051 > 145.402.520.000 > 39.227.400.000 > 2.000.000.000,VND Số đầu năm > - > 962.682.859.051735.375.439.051 > 186.080.020.000 > 39.227.400.000 > 2.000.000.000,numeric__Số cuối năm > 60.000.000.00060.000.000.000 > 922.005.359.051735.375.439.051 > 145.402.520.000 > 39.227.400.000 > 2.000.000.000,numeric__VND Số đầu năm > - > 962.682.859.051735.375.439.051 > 186.080.020.000 > 39.227.400.000 > 2.000.000.000
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,982.005.359.051,962.682.859.051,982005359051.0,962682859051.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(260.613.948.612),(253.195.180.163),-260613948612.0,-253195180163.0
Trong đó:Dự phòng đầu tư vào các công ty con,Trong đó:Dự phòng đầu tư vào các công ty con,Trong đó:Dự phòng đầu tư vào các công ty con,(242.823.355.336),(215.204.855.750),-242823355336.0,-215204855750.0
Dự phòng đầu tư vào các công ty liên kết,Dự phòng đầu tư vào các công ty liên kết,Dự phòng đầu tư vào các công ty liên kết,(6.798.078.112),(28.992.122.235),-6798078112.0,-28992122235.0
Dự phòng đầu tư vào các đơn vị khác,Dự phòng đầu tư vào các đơn vị khác,Dự phòng đầu tư vào các đơn vị khác,(10.992.515.164),(8.998.202.178),-10992515164.0,-8998202178.0
GIÁ TRI THUẢN,GIÁ TRI THUẢN,GIÁ TRI THUẢN,721.391.410.439,709.487.678.888,721391410439.0,709487678888.0
