row_label_raw,row_label_full,Tổ chức thu xếp phát hành > Công ty Chứng khoán ACB,Trái chủ > Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam - Chi nhánh Thành phố Hồ Chí Minh,Số cuối năm VND > 300.000.000.000,Kỳ hạn trả gốc > Ngày 30 tháng 12 năm 2026,Mục đích vay > Bổ sung vốn lưu động,"Tài sản đảm bảo(Thuyết minhsố 6 và 8) > Phải thu ngắn hạn của khách hang, cổ phiếu của Công ty",numeric__Trái chủ > Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam - Chi nhánh Thành phố Hồ Chí Minh,numeric__Số cuối năm VND > 300.000.000.000,numeric__Kỳ hạn trả gốc > Ngày 30 tháng 12 năm 2026,numeric__Mục đích vay > Bổ sung vốn lưu động,"numeric__Tài sản đảm bảo(Thuyết minhsố 6 và 8) > Phải thu ngắn hạn của khách hang, cổ phiếu của Công ty"
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,,(10.000.000.000),,,,,-10000000000.0,,,
,,,,290.000.000.000,,,,,290000000000.0,,,
Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,,290.000.000.000,,,,,290000000000.0,,,
"Lãi suất trái phiếuCác trái phiếu chịu lãi suất 9,6% trong năm đầu tiên và áp dụng cho các kỳ tính lãi tiếp theo lãi suất tiền gửi tiết kiệm cá nhân bằng VND kỳ hạn 12 tháng do Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam cộng (+) với biên độ 4,5% một năm.","Lãi suất trái phiếuCác trái phiếu chịu lãi suất 9,6% trong năm đầu tiên và áp dụng cho các kỳ tính lãi tiếp theo lãi suất tiền gửi tiết kiệm cá nhân bằng VND kỳ hạn 12 tháng do Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam cộng (+) với biên độ 4,5% một năm.","Lãi suất trái phiếuCác trái phiếu chịu lãi suất 9,6% trong năm đầu tiên và áp dụng cho các kỳ tính lãi tiếp theo lãi suất tiền gửi tiết kiệm cá nhân bằng VND kỳ hạn 12 tháng do Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam cộng (+) với biên độ 4,5% một năm.","Lãi suất trái phiếuCác trái phiếu chịu lãi suất 9,6% trong năm đầu tiên và áp dụng cho các kỳ tính lãi tiếp theo lãi suất tiền gửi tiết kiệm cá nhân bằng VND kỳ hạn 12 tháng do Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam cộng (+) với biên độ 4,5% một năm.","Lãi suất trái phiếuCác trái phiếu chịu lãi suất 9,6% trong năm đầu tiên và áp dụng cho các kỳ tính lãi tiếp theo lãi suất tiền gửi tiết kiệm cá nhân bằng VND kỳ hạn 12 tháng do Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam cộng (+) với biên độ 4,5% một năm.","Lãi suất trái phiếuCác trái phiếu chịu lãi suất 9,6% trong năm đầu tiên và áp dụng cho các kỳ tính lãi tiếp theo lãi suất tiền gửi tiết kiệm cá nhân bằng VND kỳ hạn 12 tháng do Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam cộng (+) với biên độ 4,5% một năm.","Lãi suất trái phiếuCác trái phiếu chịu lãi suất 9,6% trong năm đầu tiên và áp dụng cho các kỳ tính lãi tiếp theo lãi suất tiền gửi tiết kiệm cá nhân bằng VND kỳ hạn 12 tháng do Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam cộng (+) với biên độ 4,5% một năm.","Lãi suất trái phiếuCác trái phiếu chịu lãi suất 9,6% trong năm đầu tiên và áp dụng cho các kỳ tính lãi tiếp theo lãi suất tiền gửi tiết kiệm cá nhân bằng VND kỳ hạn 12 tháng do Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam cộng (+) với biên độ 4,5% một năm.",,,,,
23. DỰ PHÒNG PHẢI TRÀ DÀI HẠN,23. DỰ PHÒNG PHẢI TRÀ DÀI HẠN,23. DỰ PHÒNG PHẢI TRÀ DÀI HẠN,23. DỰ PHÒNG PHẢI TRÀ DÀI HẠN,23. DỰ PHÒNG PHẢI TRÀ DÀI HẠN,23. DỰ PHÒNG PHẢI TRÀ DÀI HẠN,23. DỰ PHÒNG PHẢI TRÀ DÀI HẠN,23. DỰ PHÒNG PHẢI TRÀ DÀI HẠN,,,,,
,,,,,,Số cuối năm,VND Số đầu năm,,,,,
Dự phòng chi phí bảo hành công trình xây dựng,23. DỰ PHÒNG PHẢI TRÀ DÀI HẠN > Dự phòng chi phí bảo hành công trình xây dựng,Dự phòng chi phí bảo hành công trình xây dựng,,,,192.192.439.801,198.387.930.738,,,,192192439801.0,198387930738.0
Dự phòng trợ cấp thời việc,23. DỰ PHÒNG PHẢI TRÀ DÀI HẠN > Dự phòng trợ cấp thời việc,Dự phòng trợ cấp thời việc,,,,22.908.315.000,23.988.665.000,,,,22908315000.0,23988665000.0
TỔNG CỘNG,23. DỰ PHÒNG PHẢI TRÀ DÀI HẠN > TỔNG CỘNG,TỔNG CỘNG,,,,215.100.754.801,222.376.595.738,,,,215100754801.0,222376595738.0
