row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 10),Mối quanhệ > Phải thu ngắn hạn khác (Thuyết minh số 10),Nội dungnghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 10),Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 10),Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 10),numeric__Mối quanhệ > Phải thu ngắn hạn khác (Thuyết minh số 10),numeric__Nội dungnghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 10),numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 10),numeric__Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 10)
Công ty Cổ phần Đầu tưĐịa ốc Tiến Phát,Công ty Cổ phần Đầu tưĐịa ốc Tiến Phát,Công ty Cổ phần Đầu tưĐịa ốc Tiến Phát,Công tycon,Thu hộ,67.206.743.241,-,,,67206743241.0,
Ban lãnh đạo,Ban lãnh đạo,Ban lãnh đạo,,Tạm ứnglương,24.335.309.099,34.754.413.000,,,24335309099.0,34754413000.0
Công ty Cổ phần Cơ khívà Nhôm kính Anh Việt,Công ty Cổ phần Cơ khívà Nhôm kính Anh Việt,Công ty Cổ phần Cơ khívà Nhôm kính Anh Việt,Công tyliên kết,Chi phí trả hộCổ tứcphải thu,10.973.526.010817.042.821,11.552.610.369817.042.821,,,1.0973526010817042e+19,1.1552610369817043e+19
Công ty Cổ phầnTiến Phát Sanyo Homes,Công ty Cổ phầnTiến Phát Sanyo Homes,Công ty Cổ phầnTiến Phát Sanyo Homes,Công tycon,Lãi phạtchậm thanhtoán,7.413.092.247,7.413.092.247,,,7413092247.0,7413092247.0
Công ty Cổ phần Trang tríNội thất Onwa Tech,Công ty Cổ phần Trang tríNội thất Onwa Tech,Công ty Cổ phần Trang tríNội thất Onwa Tech,Công tyliên kết,Chi phítrả hộ,2.964.861.532,2.037.517.512,,,2964861532.0,2037517512.0
Công ty Cổ phần NhàHòa Bình,Công ty Cổ phần NhàHòa Bình,Công ty Cổ phần NhàHòa Bình,Công tycon,Ký quỹ thuềvăn phòng,2.740.524.657,-,,,2740524657.0,
Công ty Cổ phần 479Hòa Bình,Công ty Cổ phần 479Hòa Bình,Công ty Cổ phần 479Hòa Bình,Công tyliên kết,Cổ tứcphải thuChi phítrả hộ,1.602.982.8001.280.000,1.602.982.8001.280.000,,,1.602982800128e+16,1.602982800128e+16
Công ty Cổ phần Đầu tưPhát triển Hòa Yên,Công ty Cổ phần Đầu tưPhát triển Hòa Yên,Công ty Cổ phần Đầu tưPhát triển Hòa Yên,Công tycon,Chi phítrả hộ,1.382.536.766,1.382.536.766,,,1382536766.0,1382536766.0
Công ty TNHH Tư vấnThiết kế Hòa Bình,Công ty TNHH Tư vấnThiết kế Hòa Bình,Công ty TNHH Tư vấnThiết kế Hòa Bình,Công tycon,Cổ tứcphải thuThuế vănphòng,599.659.039149.339.174,-6.200.166,,,5.996590391493391e+17,-6200166.0
Công ty Cổ phần Kỹ thuậtJesco Hòa Bình,Công ty Cổ phần Kỹ thuậtJesco Hòa Bình,Công ty Cổ phần Kỹ thuậtJesco Hòa Bình,Công tyliên kết,Chi phítrả hộ,302.419.722,277.184.722,,,302419722.0,277184722.0
Công ty TNHH SơnHòa Bình – Chỉ nhánhHưng Yên,Công ty TNHH SơnHòa Bình – Chỉ nhánhHưng Yên,Công ty TNHH SơnHòa Bình – Chỉ nhánhHưng Yên,Công tycon,Chi phítrả hộ,250.913.551,404.199.415,,,250913551.0,404199415.0
Công ty Cổ phần Đầu tưPhát triển Hòa Bình Huế,Công ty Cổ phần Đầu tưPhát triển Hòa Bình Huế,Công ty Cổ phần Đầu tưPhát triển Hòa Bình Huế,Công tycon,Chi phítrả hộ,169.519.247,169.519.247,,,169519247.0,169519247.0
Công ty TNHHSơn Hòa Bình,Công ty TNHHSơn Hòa Bình,Công ty TNHHSơn Hòa Bình,Công tycon,Chi phítrả hộ,28.480.000,23.680.000,,,28480000.0,23680000.0
Công ty TNHH MTV MáyXây dựng Matec,Công ty TNHH MTV MáyXây dựng Matec,Công ty TNHH MTV MáyXây dựng Matec,Công tycon,Chi phítrả hộ,28.232.478,-,,,28232478.0,
Công ty Cổ phầnInterhouse LA,Công ty Cổ phầnInterhouse LA,Công ty Cổ phầnInterhouse LA,Công tycon,Chi phítrả hộ,-,50.624.220,,,,50624220.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,120.966.462.384,60.492.883.285,,,120966462384.0,60492883285.0
