row_label_raw,row_label_full,col_0,Số đầu năm,Đi vay,Trả nợ gốc vay,Phân loại lại,VND Số cuối năm,numeric__Số đầu năm,numeric__Đi vay,numeric__Trả nợ gốc vay,numeric__Phân loại lại,numeric__VND Số cuối năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,4.644.670.969.255,9.221.256.455.367,(9.350.863.114.687),41.278.111.090,4.556.342.421.025,4644670969255.0,9221256455367.0,-9350863114687.0,41278111090.0,4556342421025.0
Vay ngân hàng(Thuyết minh số 22.1),Vay ngân hàng(Thuyết minh số 22.1),Vay ngân hàng(Thuyết minh số 22.1),4.568.087.523.717,9.221.256.455.367,(9.277.503.491.630),-,4.511.840.487.454,4568087523717.0,9221256455367.0,-9277503491630.0,,4511840487454.0
Vay bên khác(Thuyết minh số 22.2),Vay bên khác(Thuyết minh số 22.2),Vay bên khác(Thuyết minh số 22.2),3.223.822.481,-,-,-,3.223.822.481,3223822481.0,,,,3223822481.0
Vay dài hạn đến hạn trả(Thuyết minh số 22.3),Vay dài hạn đến hạn trả(Thuyết minh số 22.3),Vay dài hạn đến hạn trả(Thuyết minh số 22.3),73.359.623.057,-,(73.359.623.057),41.278.111.090,41.278.111.090,73359623057.0,,-73359623057.0,41278111090.0,41278111090.0
Dài hạn,Dài hạn,Dài hạn,80.364.322.170,290.000.000.000,-,(41.278.111.090),329.086.211.080,80364322170.0,290000000000.0,,-41278111090.0,329086211080.0
Vay dài hạn ngân hàng(Thuyết minh số 22.3),Vay dài hạn ngân hàng(Thuyết minh số 22.3),Vay dài hạn ngân hàng(Thuyết minh số 22.3),80.364.322.170,-,-,(41.278.111.090),39.086.211.080,80364322170.0,,,-41278111090.0,39086211080.0
Trái phiếu(Thuyết minh số 22.4),Trái phiếu(Thuyết minh số 22.4),Trái phiếu(Thuyết minh số 22.4),-,290.000.000.000,-,-,290.000.000.000,,290000000000.0,,,290000000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.725.035.291.425,9.511.256.455.367,(9.350.863.114.687),-,4.885.428.632.105,4725035291425.0,9511256455367.0,-9350863114687.0,,4885428632105.0
