row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Tài sản khác,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Tài sản khác,numeric__VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm và số cuối năm,Nguyên giá > Số đầu năm và số cuối năm,Số đầu năm và số cuối năm,39.790.252.840,19.310.767.608,1.216.005.358,60.317.025.806,39790252840.0,19310767608.0,1216005358.0,60317025806.0
Trong đó:Đã hao mòn hết,Nguyên giá > Trong đó:Đã hao mòn hết,Trong đó:Đã hao mòn hết,-,6.294.885.848,1.216.005.358,7.510.891.206,,6294885848.0,1216005358.0,7510891206.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu nămHao mòntrong năm,Giá trị hao mòn lũy kế > Số đầu nămHao mòntrong năm,Số đầu nămHao mòntrong năm,-,11.725.099.115,1.216.005.358,12.941.104.473,,11725099115.0,1216005358.0,12941104473.0
Số đầu nămHao mòntrong năm,Giá trị hao mòn lũy kế > Số đầu nămHao mòntrong năm,Số đầu nămHao mòntrong năm,-,3.799.766.476,-,3.799.766.476,,3799766476.0,,3799766476.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,-,15.524.865.591,1.216.005.358,16.740.870.949,,15524865591.0,1216005358.0,16740870949.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,39.790.252.840,7.585.668.493,-,47.375.921.333,39790252840.0,7585668493.0,,47375921333.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,39.790.252.840,3.785.902.017,-,43.576.154.857,39790252840.0,3785902017.0,,43576154857.0
Trong đó:Tài sànsử dụngđề thế chấp(Thuyết minhsố 22.1),Giá trị còn lại > Trong đó:Tài sànsử dụngđề thế chấp(Thuyết minhsố 22.1),Trong đó:Tài sànsử dụngđề thế chấp(Thuyết minhsố 22.1),4.647.313.153,-,-,4.647.313.153,4647313153.0,,,4647313153.0
