row_label_raw,row_label_full,Công ty TNHH MTV Máy Xây dựng Matec,Công ty con,Thuê máy móc,132.699.024.924,222.266.195.027,numeric__Công ty con,numeric__Thuê máy móc,numeric__132.699.024.924,numeric__222.266.195.027
Công ty Cổ phần Interhouse LA,Công ty Cổ phần Interhouse LA,Công ty Cổ phần Interhouse LA,Công ty con,Chi phí thầu phụ,23.278.732.819,32.647.566.440,,,23278732819.0,32647566440.0
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty liên kết,Chi phí thầu phụ,20.542.604.019,25.239.234.780,,,20542604019.0,25239234780.0
Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty con,Chi phí thầu phụ,7.029.055.000,1.210.000.000,,,7029055000.0,1210000000.0
Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Công ty con,Chi phí thầu phụ,6.226.425.653,2.047.091.017,,,6226425653.0,2047091017.0
Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty con,Chi phí thầu phụ,3.124.263.983,17.823.175.636,,,3124263983.0,17823175636.0
Công ty Cổ phần Đầu tư và Năng lượng Tái tạo Hòa Bình,Công ty Cổ phần Đầu tư và Năng lượng Tái tạo Hòa Bình,Công ty Cổ phần Đầu tư và Năng lượng Tái tạo Hòa Bình,Công ty con,Mua vật tư xây dựng,2.473.948.884,1.530.195.513,,,2473948884.0,1530195513.0
Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty con,Chi phí thầu phụ,994.075.040,994.075.040,,,994075040.0,994075040.0
Công ty Cổ phần Trang trí Nội thất Onwa Tech,Công ty Cổ phần Trang trí Nội thất Onwa Tech,Công ty Cổ phần Trang trí Nội thất Onwa Tech,Công ty liên kết,Chi phí thầu phụ,293.892.492,309.485.772,,,293892492.0,309485772.0
Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty liên kết,Chi phí thầu phụ,10.717.819,24.479.276.508,,,10717819.0,24479276508.0
Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty con,Chi phí thầu phụ,-,604.830.870,,,,604830870.0
Công ty Cổ phần Bất động sản Okamura Sanyo,Công ty Cổ phần Bất động sản Okamura Sanyo,Công ty Cổ phần Bất động sản Okamura Sanyo,Công ty con,Thuê văn phòng,-,3.850.000,,,,3850000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,196.673.185.633,329.154.976.603,,,196673185633.0,329154976603.0
