row_label_raw,row_label_full,Chi phí thuế TNDN hiện hànhĐiều chỉnh thuế TNDN trích thiếu trong nhữngnăm trước,Năm nay > 33.991.773.753 > 2.479.615.762 > 36.471.389.515,VNDNăm trước > 17.918.988.927 > - > 17.918.988.927,numeric__Năm nay > 33.991.773.753 > 2.479.615.762 > 36.471.389.515,numeric__VNDNăm trước > 17.918.988.927 > - > 17.918.988.927
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,216.070.000,625.884.583,216070000.0,625884583.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,36.687.459.515,18.544.873.510,36687459515.0,18544873510.0
