row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,5.124.410.448,1.825.257.438.377,56.690.132.524,19.121.271.259,1.906.193.252.608,5124410448.0,1825257438377.0,56690132524.0,19121271259.0,1906193252608.0
Mua mới,Nguyên giá > Mua mới,Mua mới,-,51.971.008.959,-,370.669.090,52.341.678.049,,51971008959.0,,370669090.0,52341678049.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(130.622.306.687),(380.000.000),(547.180.000),(131.549.486.687),,-130622306687.0,-380000000.0,-547180000.0,-131549486687.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,5.124.410.448,1.746.606.140.649,56.310.132.524,18.944.760.349,1.826.985.443.970,5124410448.0,1746606140649.0,56310132524.0,18944760349.0,1826985443970.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,-,167.102.369.028,8.983.499.320,6.637.909.861,182.723.778.209,,167102369028.0,8983499320.0,6637909861.0,182723778209.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,2.497.698.218,942.085.487.870,28.064.352.216,14.747.217.736,987.394.756.040,2497698218.0,942085487870.0,28064352216.0,14747217736.0,987394756040.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,750.383.604,192.747.741.848,5.459.790.501,1.972.461.920,200.930.377.873,750383604.0,192747741848.0,5459790501.0,1972461920.0,200930377873.0
Thanh lý,Giá trị khấu hao lũy kế > Thanh lý,Thanh lý,-,(94.976.030.485),(380.000.000),(290.446.005),(95.646.476.490),,-94976030485.0,-380000000.0,-290446005.0,-95646476490.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,3.248.081.822,1.039.857.199.233,33.144.142.717,16.429.233.651,1.092.678.657.423,3248081822.0,1039857199233.0,33144142717.0,16429233651.0,1092678657423.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,2.626.712.230,883.171.950.507,28.625.780.308,4.374.053.523,918.798.496.568,2626712230.0,883171950507.0,28625780308.0,4374053523.0,918798496568.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,1.876.328.626,706.748.941.416,23.165.989.807,2.515.526.698,734.306.786.547,1876328626.0,706748941416.0,23165989807.0,2515526698.0,734306786547.0
"Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 22.1, 22.3 và 22.4)","Giá trị còn lại > Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 22.1, 22.3 và 22.4)","Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 22.1, 22.3 và 22.4)",-,260.039.618.786,969.540.951,-,261.009.159.737,,260039618786.0,969540951.0,,261009159737.0
