row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),Môi quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),VND Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),numeric__Môi quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),numeric__VND Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6)
Công ty Cổ phầnTiến Phát Sanyo Homes,Công ty Cổ phầnTiến Phát Sanyo Homes,Công ty Cổ phầnTiến Phát Sanyo Homes,Công ty con,Dịch vụ xây dựng,52.530.112.028,103.245.716.811,,,52530112028.0,103245716811.0
Công ty TNHHMột thành viênMáy Xây dựng Matec,Công ty TNHHMột thành viênMáy Xây dựng Matec,Công ty TNHHMột thành viênMáy Xây dựng Matec,Công ty con,Thuê máy móc thiết bị,1.493.143.137,-,,,1493143137.0,
TỔNG CỔNG,TỔNG CỔNG,TỔNG CỔNG,,,54.023.255.165,103.245.716.811,,,54023255165.0,103245716811.0
