row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,2.308.753.980.000,346.669.112.981,94.548.441.157,886.782.362.126,3.636.753.896.264,2308753980000.0,346669112981.0,94548441157.0,886782362126.0,3636753896264.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,76.180.472.141,76.180.472.141,,,,76180472141.0,76180472141.0
Cổ tức đã công bố,Năm trước > Cổ tức đã công bố,Cổ tức đã công bố,-,-,-,(69.262.619.400),(69.262.619.400),,,,-69262619400.0,-69262619400.0
"Trích lập quỹ khen thưởng, phúc lợi","Năm trước > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(7.350.830.016),(7.350.830.016),,,,-7350830016.0,-7350830016.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,2.308.753.980.000,346.669.112.981,94.548.441.157,886.349.384.851,3.636.320.918.989,2308753980000.0,346669112981.0,94548441157.0,886349384851.0,3636320918989.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,2.308.753.980.000,346.669.112.981,94.548.441.157,886.349.384.851,3.636.320.918.989,2308753980000.0,346669112981.0,94548441157.0,886349384851.0,3636320918989.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,98.606.187.662,98.606.187.662,,,,98606187662.0,98606187662.0
Chia cổ tức bằng cổ phiếu (*),Năm nay > Chia cổ tức bằng cổ phiếu (*),Chia cổ tức bằng cổ phiếu (*),115.403.860.000,-,-,(115.403.860.000),-,115403860000.0,,,-115403860000.0,
"Trích lập quỹ khen thưởng, phúc lợi","Năm nay > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(10.045.042.489),(10.045.042.489),,,,-10045042489.0,-10045042489.0
Thường Ban Điều hành và Cán bộ chủ chốt,Năm nay > Thường Ban Điều hành và Cán bộ chủ chốt,Thường Ban Điều hành và Cán bộ chủ chốt,-,-,-,(3.334.040.013),(3.334.040.013),,,,-3334040013.0,-3334040013.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,2.424.157.840.000,346.669.112.981,94.548.441.157,856.172.630.011,3.721.548.024.149,2424157840000.0,346669112981.0,94548441157.0,856172630011.0,3721548024149.0
