row_label_raw,row_label_full,Doanh thu được ghi nhận trong năm của hợp đồng xây dựng đang thực hiện > Doanh thu được ghi nhận trong năm của hợp đồng xây dựng đã hoàn thành,9.760.191.457.298 > 1.026.859.168.018,9.426.944.758.412 > 1.308.516.919.647,numeric__9.760.191.457.298 > 1.026.859.168.018,numeric__9.426.944.758.412 > 1.308.516.919.647
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,10.787.050.625.316,10.735.461.678.059,10787050625316.0,10735461678059.0
Tổng doanh thu lũy kế của hợp đồng xây dựng đang thực hiện đến ngày kết thúc kỳ kế toán năm,Tổng doanh thu lũy kế của hợp đồng xây dựng đang thực hiện đến ngày kết thúc kỳ kế toán năm,Tổng doanh thu lũy kế của hợp đồng xây dựng đang thực hiện đến ngày kết thúc kỳ kế toán năm,16.482.373.920.869,18.513.498.300.980,16482373920869.0,18513498300980.0
