row_label_raw,row_label_full,col_0,Thuyết minh,Năm nay VND,Năm trước VND,numeric__Thuyết minh,numeric__Năm nay VND,numeric__Năm trước VND
LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,,,
Mua sắm tài sản cố định,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > Mua sắm tài sản cố định,Mua sắm tài sản cố định,,(48.089.586.276),(121.182.860.687),,-48089586276.0,-121182860687.0
"Tiền thu từ thanh lý, nhượng bán tài sản cố định","LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > Tiền thu từ thanh lý, nhượng bán tài sản cố định","Tiền thu từ thanh lý, nhượng bán tài sản cố định",,13.121.994.999,41.203.908.455,,13121994999.0,41203908455.0
"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn","LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn","Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",34,151.800.000,216.000.000,34.0,151800000.0,216000000.0
"Tiền thu đầu tư, góp vốn vào các đơn vị khác","LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > Tiền thu đầu tư, góp vốn vào các đơn vị khác","Tiền thu đầu tư, góp vốn vào các đơn vị khác",,3.750.000.000,-,,3750000000.0,
Lưu chuyển tiền sử dụng vào hoạt động đầu tư,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > Lưu chuyển tiền sử dụng vào hoạt động đầu tư,Lưu chuyển tiền sử dụng vào hoạt động đầu tư,,(31.065.791.277),(79.762.952.232),,-31065791277.0,-79762952232.0
LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
Tăng vốn cổ phần từ góp vốn,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tăng vốn cổ phần từ góp vốn,Tăng vốn cổ phần từ góp vốn,,2.420.424.044.224,-,,2420424044224.0,
"Cổ tức trả cho cổ đông, lợi nhuận đã chia","LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Cổ tức trả cho cổ đông, lợi nhuận đã chia","Cổ tức trả cho cổ đông, lợi nhuận đã chia",,(18.480.159),(186.441.391),,-18480159.0,-186441391.0
Tiền thu được do bán cổ phiếu quỹ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu được do bán cổ phiếu quỹ,Tiền thu được do bán cổ phiếu quỹ,,-,142.667.253.124,,,142667253124.0
Lưu chuyển tiền thuần từ hoạt động tài chính,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,,2.420.405.564.065,142.480.811.733,,2420405564065.0,142480811733.0
Lưu chuyển tiền thuần trong năm,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,,3.070.664.657.714,2.444.083.097.188,,3070664657714.0,2444083097188.0
Tiền và các khoản tương đương tiền đầu năm,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,37,17.137.888.041.497,14.693.804.944.309,37.0,17137888041497.0,14693804944309.0
Tiền và các khoản tương đương tiền cuối năm,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền cuối năm,Tiền và các khoản tương đương tiền cuối năm,37,20.208.552.699.211,17.137.888.041.497,37.0,20208552699211.0,17137888041497.0
