row_label_raw,row_label_full,col_0,Số dư cuối năm VND,Số dư đầu năm VND,numeric__Số dư cuối năm VND,numeric__Số dư đầu năm VND
Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,57.046.119.467.397,41.742.046.487.332,57046119467397.0,41742046487332.0
Công ty cổ phần khác,Công ty cổ phần khác,Công ty cổ phần khác,34.066.244.004.001,24.415.985.702.550,34066244004001.0,24415985702550.0
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,20.974.542.915.742,15.225.334.741.070,20974542915742.0,15225334741070.0
Công ty Nhà nước,Công ty Nhà nước,Công ty Nhà nước,1.001.644.758.394,1.028.306.931.905,1001644758394.0,1028306931905.0
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,548.965.930.397,618.122.978.114,548965930397.0,618122978114.0
Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,175.638.933.543,192.993.261.755,175638933543.0,192993261755.0
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,132.255.843.387,154.026.660.959,132255843387.0,154026660959.0
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,86.338.832.950,104.776.210.979,86338832950.0,104776210979.0
Công ty TNHH 1 thành viên do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH 1 thành viên do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH 1 thành viên do Nhà nước sở hữu 100% vốn điều lệ,60.488.248.983,2.500.000.000,60488248983.0,2500000000.0
Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,32.191.766.698.757,29.348.694.584.391,32191766698757.0,29348694584391.0
,,,89.237.886.166.154,71.090.741.071.723,89237886166154.0,71090741071723.0
