row_label_raw,row_label_full,col_0,Số dư cuối năm VND,Số dư đầu năm VND,numeric__Số dư cuối năm VND,numeric__Số dư đầu năm VND
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,81.508.173.581,5.613.236.773,81508173581.0,5613236773.0
- Các khoản phải trả nhân viên,- Các khoản phải trả nhân viên,- Các khoản phải trả nhân viên,81.508.173.581,5.613.236.773,81508173581.0,5613236773.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,1.617.519.935.213,856.987.586.894,1617519935213.0,856987586894.0
- Thuế phải trả,- Thuế phải trả,- Thuế phải trả,446.468.490.328,277.914.911.353,446468490328.0,277914911353.0
- Cổ tức phải trả,- Cổ tức phải trả,- Cổ tức phải trả,18.336.278.164,18.354.758.323,18336278164.0,18354758323.0
- Tiền giữ hộ và đợi thanh toán,- Tiền giữ hộ và đợi thanh toán,- Tiền giữ hộ và đợi thanh toán,18.104.741.560,13.176.412.863,18104741560.0,13176412863.0
- Phải trả dịch vụ kiểu hối,- Phải trả dịch vụ kiểu hối,- Phải trả dịch vụ kiểu hối,119.020.626.646,51.579.598.629,119020626646.0,51579598629.0
- Doanh thu chờ phân bổ,- Doanh thu chờ phân bổ,- Doanh thu chờ phân bổ,189.512.885.000,6.243.145.000,189512885000.0,6243145000.0
- Phải trả dịch vụ thanh toán,- Phải trả dịch vụ thanh toán,- Phải trả dịch vụ thanh toán,583.785.624.167,256.495.028.161,583785624167.0,256495028161.0
- Các khoản phải trả khác,- Các khoản phải trả khác,- Các khoản phải trả khác,242.291.289.348,233.223.732.565,242291289348.0,233223732565.0
Quỹ khen thưởng phúc lợi (i),Quỹ khen thưởng phúc lợi (i),Quỹ khen thưởng phúc lợi (i),39.193.644.437,14.669.957.995,39193644437.0,14669957995.0
,,,1.738.221.753.231,877.270.781.662,1738221753231.0,877270781662.0
