row_label_raw,row_label_full,col_0,Chưa quá hạn và chưa bị giảm giá VND,Đã quá hạn và chưa bị giảm giá VND,Đã quá hạn và đã trích lập dự phòng VND,Tổng cộng VND,numeric__Chưa quá hạn và chưa bị giảm giá VND,numeric__Đã quá hạn và chưa bị giảm giá VND,numeric__Đã quá hạn và đã trích lập dự phòng VND,numeric__Tổng cộng VND
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,16.383.840.701.485,-,-,16.383.840.701.485,16383840701485.0,,,16383840701485.0
- Tiền gửi tại TCTD khác,- Tiền gửi tại TCTD khác,- Tiền gửi tại TCTD khác,15.188.220.574.435,-,-,15.188.220.574.435,15188220574435.0,,,15188220574435.0
- Cho vay các TCTD khác,- Cho vay các TCTD khác,- Cho vay các TCTD khác,1.195.620.127.050,-,-,1.195.620.127.050,1195620127050.0,,,1195620127050.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,929.409.500.000,-,-,929.409.500.000,929409500000.0,,,929409500000.0
Cho vay khách hàng và mua nợ,Cho vay khách hàng và mua nợ,Cho vay khách hàng và mua nợ,85.408.855.999.477,1.658.028.730.561,2.561.001.436.116,89.627.886.166.154,85408855999477.0,1658028730561.0,2561001436116.0,89627886166154.0
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,33.607.191.427.787,-,-,33.607.191.427.787,33607191427787.0,,,33607191427787.0
Tái sản Có khác,Tái sản Có khác,Tái sản Có khác,5.290.753.959.771,-,4.800.000.000,5.295.553.959.771,5290753959771.0,,4800000000.0,5295553959771.0
Tổng cộng,Tổng cộng,Tổng cộng,141.620.051.588.520,1.658.028.730.561,2.565.801.436.116,145.843.881.755.197,141620051588520.0,1658028730561.0,2565801436116.0,145843881755197.0
