row_label_raw,row_label_full,Thuế giá trị gia tăng,Số phải trảđầu nămVND > 6.478.736.414,Phát sinh trong năm > Số phải nộpVND > 89.659.825.965,Phát sinh trong năm > Số đã nộpVND > (45.932.877.601),Số phải trảcuối nămVND > 50.205.684.778,Số phải thucuối nămVND > -,numeric__Số phải trảđầu nămVND > 6.478.736.414,numeric__Phát sinh trong năm > Số phải nộpVND > 89.659.825.965,numeric__Phát sinh trong năm > Số đã nộpVND > (45.932.877.601),numeric__Số phải trảcuối nămVND > 50.205.684.778,numeric__Số phải thucuối nămVND > -
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,259.848.529.321,884.536.684.612,(762.881.768.657),381.580.224.510,76.779.234,259848529321.0,884536684612.0,-762881768657.0,381580224510.0,76779234.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,11.524.586.088,101.943.631.915,(101.607.658.502),11.860.559.501,-,11524586088.0,101943631915.0,-101607658502.0,11860559501.0,
Thuế nhà thầu,Thuế nhà thầu,Thuế nhà thầu,63.059.530,6.197.326.726,(3.438.364.717),2.822.021.539,-,63059530.0,6197326726.0,-3438364717.0,2822021539.0,
Thuế nhà đất,Thuế nhà đất,Thuế nhà đất,-,76.572.180,(76.572.180),-,-,,76572180.0,-76572180.0,,
Thuế khác,Thuế khác,Thuế khác,-,139.000.000,(139.000.000),-,-,,139000000.0,-139000000.0,,
,,,277.914.911.353,1.082.553.041.398,(914.076.241.657),446.468.490.328,76.779.234,277914911353.0,1082553041398.0,-914076241657.0,446468490328.0,76779234.0
