row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
"Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí",2.319.426.686,2.905.131.032,2319426686.0,2905131032.0
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,1.550.209.010.147,1.546.869.049.729,1550209010147.0,1546869049729.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Chi lương và phụ cấp,Trong đó: > - Chi lương và phụ cấp,- Chi lương và phụ cấp,1.381.240.543.270,1.363.654.323.168,1381240543270.0,1363654323168.0
- Các khoản chi đóng góp theo lương,Trong đó: > - Các khoản chi đóng góp theo lương,- Các khoản chi đóng góp theo lương,109.431.859.351,116.784.645.693,109431859351.0,116784645693.0
- Chi trợ cấp,Trong đó: > - Chi trợ cấp,- Chi trợ cấp,2.247.642.890,3.833.955.043,2247642890.0,3833955043.0
- Chi khác,Trong đó: > - Chi khác,- Chi khác,57.288.964.636,62.596.125.825,57288964636.0,62596125825.0
Chi về tài sản,Trong đó: > Chi về tài sản,Chi về tài sản,354.535.082.594,368.972.375.236,354535082594.0,368972375236.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Khấu hao và hao mòn tài sản cố định,Trong đó: > - Khấu hao và hao mòn tài sản cố định,- Khấu hao và hao mòn tài sản cố định,92.270.064.386,83.090.119.850,92270064386.0,83090119850.0
- Chi phí tài sản khác,Trong đó: > - Chi phí tài sản khác,- Chi phí tài sản khác,262.265.018.208,285.882.255.386,262265018208.0,285882255386.0
Chi cho hoạt động quản lý công vụ,Trong đó: > Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,358.847.047.713,463.582.333.034,358847047713.0,463582333034.0
"Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Trong đó: > Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng",64.274.805.816,57.009.399.667,64274805816.0,57009399667.0
(Hoàn nhập)/chi phí dự phòng (không tinh chi phí dự phòng rủi ro tín dụng; chi phí dự phòng rủi ro chứng khoán),Trong đó: > (Hoàn nhập)/chi phí dự phòng (không tinh chi phí dự phòng rủi ro tín dụng; chi phí dự phòng rủi ro chứng khoán),(Hoàn nhập)/chi phí dự phòng (không tinh chi phí dự phòng rủi ro tín dụng; chi phí dự phòng rủi ro chứng khoán),(66.770.732),9.897.812.695,-66770732.0,9897812695.0
,,,2.330.118.602.224,2.449.236.101.393,2330118602224.0,2449236101393.0
