row_label_raw,row_label_full,col_0,Số dư cuối năm VND,Số dư đầu năm VND,numeric__Số dư cuối năm VND,numeric__Số dư đầu năm VND
Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,10.089.498.416.439,7.918.216.224.363,10089498416439.0,7918216224363.0
- Bằng VND,- Bằng VND,- Bằng VND,9.510.529.389.911,7.383.132.091.248,9510529389911.0,7383132091248.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,578.969.026.528,535.084.133.115,578969026528.0,535084133115.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,34.888.768.058.723,21.447.430.823.615,34888768058723.0,21447430823615.0
- Bằng VND,- Bằng VND,- Bằng VND,34.888.482.464.973,21.447.306.142.115,34888482464973.0,21447306142115.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,285.593.750,124.681.500,285593750.0,124681500.0
Tiền gửi tiết kiệm không kỳ hạn,Tiền gửi tiết kiệm không kỳ hạn,Tiền gửi tiết kiệm không kỳ hạn,13.869.473.408,16.395.402.701,13869473408.0,16395402701.0
- Bằng VND,- Bằng VND,- Bằng VND,2.706.377.308,4.906.518.815,2706377308.0,4906518815.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,11.163.096.100,11.488.883.886,11163096100.0,11488883886.0
Tiền gửi tiết kiệm có kỳ hạn,Tiền gửi tiết kiệm có kỳ hạn,Tiền gửi tiết kiệm có kỳ hạn,41.823.699.039.401,39.262.350.303.959,41823699039401.0,39262350303959.0
- Bằng VND,- Bằng VND,- Bằng VND,41.199.333.411.501,38.415.456.580.221,41199333411501.0,38415456580221.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,624.365.627.900,846.893.723.738,624365627900.0,846893723738.0
Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,44.641.753.315,130.885.725.697,44641753315.0,130885725697.0
- Bằng VND,- Bằng VND,- Bằng VND,35.221.696.047,35.016.539.783,35221696047.0,35016539783.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,9.420.057.268,95.869.185.914,9420057268.0,95869185914.0
Tiền gửi ký quỹ,Tiền gửi ký quỹ,Tiền gửi ký quỹ,310.898.869.483,366.777.814.106,310898869483.0,366777814106.0
- Bằng VND,- Bằng VND,- Bằng VND,309.901.005.614,364.290.809.839,309901005614.0,364290809839.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,997.863.869,2.487.004.267,997863869.0,2487004267.0
,,,87.171.375.610.769,69.142.056.294.441,87171375610769.0,69142056294441.0
