row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc VND",Máy móc thiết bị VND,Phương tiện vận chuyển VND,Tài sản cố định khác VND,Tổng cộng VND,"numeric__Nhà cửa, vật kiến trúc VND",numeric__Máy móc thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Tài sản cố định khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư tại ngày 1 tháng 1 năm 2020,Nguyên giá > Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,251.569.472.740,253.689.370.886,138.802.526.165,1.425.127.387,645.486.497.178,251569472740.0,253689370886.0,138802526165.0,1425127387.0,645486497178.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,1.450.695.269,21.230.441.092,6.316.044.715,-,28.997.181.076,1450695269.0,21230441092.0,6316044715.0,,28997181076.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,3.398.065.498,15.819.269.285,2.249.942.144,-,21.467.276.927,3398065498.0,15819269285.0,2249942144.0,,21467276927.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(43.560.270.778),(1.729.968.032),(2.793.653.496),-,(48.083.892.306),-43560270778.0,-1729968032.0,-2793653496.0,,-48083892306.0
Số dư tại ngày 31 tháng 12 năm 2020,Nguyên giá > Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,212.857.962.729,289.009.113.231,144.574.859.528,1.425.127.387,647.867.062.875,212857962729.0,289009113231.0,144574859528.0,1425127387.0,647867062875.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Số dư tại ngày 1 tháng 1 năm 2020,Giá trị khấu hao lũy kế > Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,85.730.654.511,157.329.626.943,84.633.319.658,1.425.127.387,329.118.728.499,85730654511.0,157329626943.0,84633319658.0,1425127387.0,329118728499.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,10.008.569.876,34.699.110.510,11.689.195.175,-,56.396.875.561,10008569876.0,34699110510.0,11689195175.0,,56396875561.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(5.502.779.909),(1.729.968.032),(2.793.653.496),-,(10.026.401.437),-5502779909.0,-1729968032.0,-2793653496.0,,-10026401437.0
Số dư tại ngày 31 tháng 12 năm 2020,Giá trị khấu hao lũy kế > Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,90.236.444.478,190.298.769.421,93.528.861.337,1.425.127.387,375.489.202.623,90236444478.0,190298769421.0,93528861337.0,1425127387.0,375489202623.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư tại ngày 1 tháng 1 năm 2020,Giá trị còn lại > Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,165.838.818.229,96.359.743.943,54.169.206.507,-,316.367.768.679,165838818229.0,96359743943.0,54169206507.0,,316367768679.0
Số dư tại ngày 31 tháng 12 năm 2020,Giá trị còn lại > Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,122.621.518.251,98.710.343.810,51.045.998.191,-,272.377.860.252,122621518251.0,98710343810.0,51045998191.0,,272377860252.0
