row_label_raw,row_label_full,col_0,Quả hạnVND,Không chịu lãiVND,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộngVND,numeric__Quả hạnVND,numeric__Không chịu lãiVND,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộngVND
,,,Quả hạnVND,Không chịu lãiVND,Đến 1 thángVND,Từ 1 - 3 thángVND,Từ 3 - 6 thángVND,Từ 6 - 12 thángVND,Từ 1 - 5 nămVND,Trên 5 nămVND,Tổng cộngVND,,,,,,,,,
Tải sản,Tải sản,Tải sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quỹ","Tải sản > Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",-,932.451.084.828,-,-,-,-,-,-,932.451.084.828,,932451084828.0,,,,,,,932451084828.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,4.087.881.039.948,-,-,-,-,-,4.087.881.039.948,,,4087881039948.0,,,,,,4087881039948.0
Tiền gửi tại và cho vay các TCTD khác,Tải sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,9.117.808.519.181,6.996.327.478.769,269.704.703.535,-,-,-,16.383.840.701.485,,,9117808519181.0,6996327478769.0,269704703535.0,,,,16383840701485.0
Chứng khoán kinh doanh,Tải sản > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,-,-,-,-,929.409.500.000,-,-,929.409.500.000,,,,,,929409500000.0,,,929409500000.0
Các công cụ tài chính phải sinh,Tải sản > Các công cụ tài chính phải sinh,Các công cụ tài chính phải sinh,-,65.588.137.740,-,-,-,-,-,-,65.588.137.740,,65588137740.0,,,,,,,65588137740.0
Cho vay khách hàng và mua nợ,Tải sản > Cho vay khách hàng và mua nợ,Cho vay khách hàng và mua nợ,3.129.783.747.267,-,16.527.457.016.637,34.219.583.605.527,28.626.499.324.650,2.714.055.226.519,4.410.507.245.554,-,89.627.886.166.154,3129783747267.0,,16527457016637.0,34219583605527.0,28626499324650.0,2714055226519.0,4410507245554.0,,89627886166154.0
Chứng khoán đầu tư,Tải sản > Chứng khoán đầu tư,Chứng khoán đầu tư,-,2.136.224.827.787,110.000.000.000,260.000.000.000,2.153.000.000.000,5.090.000.000.000,7.129.966.600.000,16.728.000.000.000,33.607.191.427.787,,2136224827787.0,110000000000.0,260000000000.0,2153000000000.0,5090000000000.0,7129966600000.0,16728000000000.0,33607191427787.0
"Góp vốn, đầu tư dài hạn","Tải sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,22.540.000.000,-,-,-,-,-,-,22.540.000.000,,22540000000.0,,,,,,,22540000000.0
Tải sản cố định,Tải sản > Tải sản cố định,Tải sản cố định,-,545.543.991.339,-,-,-,-,-,-,545.543.991.339,,545543991339.0,,,,,,,545543991339.0
Tải sản Có khác,Tải sản > Tải sản Có khác,Tải sản Có khác,4.800.000.000,7.305.650.135.775,-,-,-,-,-,-,7.310.450.135.775,4800000000.0,7305650135775.0,,,,,,,7310450135775.0
