row_label_raw,row_label_full,col_0,Số dư cuối năm VND,Số dư đầu năm VND,numeric__Số dư cuối năm VND,numeric__Số dư đầu năm VND
"Bán buôn và bán lẻ; sửa chữa mộtô, ôtô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa mộtô, ôtô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa mộtô, ôtô, xe máy và xe có động cơ khác",18.794.596.486.211,14.203.471.615.622,18794596486211.0,14203471615622.0
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,11.230.993.688.104,8.242.987.547.895,11230993688104.0,8242987547895.0
Xây dựng,Xây dựng,Xây dựng,9.391.398.251.043,7.780.281.474.101,9391398251043.0,7780281474101.0
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",7.066.592.576.041,7.092.594.962.215,7066592576041.0,7092594962215.0
"Hoạt động làm thuê các công việc trong các hộ gia đình, sân xuất sân phẩm vất chất và dịch vụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sân xuất sân phẩm vất chất và dịch vụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sân xuất sân phẩm vất chất và dịch vụ tự tiêu dùng của hộ gia đình",5.504.364.133.080,7.490.663.357.287,5504364133080.0,7490663357287.0
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,7.117.525.860.046,5.268.849.858.822,7117525860046.0,5268849858822.0
"Sản xuất và phân phối điện, khí đốt và nước nóng, hơi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt và nước nóng, hơi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt và nước nóng, hơi nước và điều hòa không khí",9.313.272.140.650,5.979.058.697.665,9313272140650.0,5979058697665.0
Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,6.268.194.676.278,5.154.589.033.775,6268194676278.0,5154589033775.0
"Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm",2.331.879.699.991,2.761.840.363.975,2331879699991.0,2761840363975.0
"Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản",2.099.663.011.741,2.217.735.433.422,2099663011741.0,2217735433422.0
Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,1.298.117.702.316,1.779.745.345.458,1298117702316.0,1779745345458.0
Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,735.299.382.465,625.049.334.334,735299382465.0,625049334334.0
Các ngành khác,Các ngành khác,Các ngành khác,8.085.988.558.188,2.493.874.047.152,8085988558188.0,2493874047152.0
,,,89.237.886.166.154,71.090.741.071.723,89237886166154.0,71090741071723.0
