row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2020%,Ngày 31 tháng 12năm 2019%,numeric__Ngày 31 tháng 12năm 2020%,numeric__Ngày 31 tháng 12năm 2019%
Đối với tiền gửi của khách hàng,Đối với tiền gửi của khách hàng,Đối với tiền gửi của khách hàng,Đối với tiền gửi của khách hàng,Đối với tiền gửi của khách hàng,,
Tiền gửi bằng VND không kỳ hạn và có kỳ hạn dưới 12 tháng,Đối với tiền gửi của khách hàng > Tiền gửi bằng VND không kỳ hạn và có kỳ hạn dưới 12 tháng,Tiền gửi bằng VND không kỳ hạn và có kỳ hạn dưới 12 tháng,"3,00","3,00",3.0,3.0
Tiền gửi bằng VND có kỳ hạn từ 12 tháng trở lên,Đối với tiền gửi của khách hàng > Tiền gửi bằng VND có kỳ hạn từ 12 tháng trở lên,Tiền gửi bằng VND có kỳ hạn từ 12 tháng trở lên,"1,00","1,00",1.0,1.0
Tiền gửi bằng ngoại tệ không kỳ hạn và có kỳ hạn dưới 12 tháng,Đối với tiền gửi của khách hàng > Tiền gửi bằng ngoại tệ không kỳ hạn và có kỳ hạn dưới 12 tháng,Tiền gửi bằng ngoại tệ không kỳ hạn và có kỳ hạn dưới 12 tháng,"8,00","8,00",8.0,8.0
Tiền gửi bằng ngoại tệ có kỳ hạn từ 12 tháng trở lên,Đối với tiền gửi của khách hàng > Tiền gửi bằng ngoại tệ có kỳ hạn từ 12 tháng trở lên,Tiền gửi bằng ngoại tệ có kỳ hạn từ 12 tháng trở lên,"6,00","6,00",6.0,6.0
Đối với tiền gửi của các TCTD nước ngoài,Đối với tiền gửi của các TCTD nước ngoài,Đối với tiền gửi của các TCTD nước ngoài,Đối với tiền gửi của các TCTD nước ngoài,Đối với tiền gửi của các TCTD nước ngoài,,
Tiền gửi bằng ngoại tệ,Đối với tiền gửi của các TCTD nước ngoài > Tiền gửi bằng ngoại tệ,Tiền gửi bằng ngoại tệ,"1,00","1,00",1.0,1.0
Lãi suất năm thực tế của tiền gửi tại NHNN như sau:,Lãi suất năm thực tế của tiền gửi tại NHNN như sau:,Lãi suất năm thực tế của tiền gửi tại NHNN như sau:,Lãi suất năm thực tế của tiền gửi tại NHNN như sau:,Lãi suất năm thực tế của tiền gửi tại NHNN như sau:,,
,,,Ngày 31 tháng 12năm 2020%/năm,Ngày 31 tháng 12năm 2019%/năm,,
Trong dự trữ bắt buộc bằng VND,Lãi suất năm thực tế của tiền gửi tại NHNN như sau: > Trong dự trữ bắt buộc bằng VND,Trong dự trữ bắt buộc bằng VND,"0,50","0,80",0.5,0.8
Trong dự trữ bắt buộc bằng ngoại tệ,Lãi suất năm thực tế của tiền gửi tại NHNN như sau: > Trong dự trữ bắt buộc bằng ngoại tệ,Trong dự trữ bắt buộc bằng ngoại tệ,"0,00","0,00",0.0,0.0
Vượt dự trữ bắt buộc bằng VND,Lãi suất năm thực tế của tiền gửi tại NHNN như sau: > Vượt dự trữ bắt buộc bằng VND,Vượt dự trữ bắt buộc bằng VND,"0,00","0,00",0.0,0.0
Vượt dự trữ bắt buộc bằng ngoại tệ,Lãi suất năm thực tế của tiền gửi tại NHNN như sau: > Vượt dự trữ bắt buộc bằng ngoại tệ,Vượt dự trữ bắt buộc bằng ngoại tệ,"0,05","0,05",0.05,0.05
