row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Vốn khác của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Vốn khác của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư tại ngày 01/01/2019,Số dư tại ngày 01/01/2019,Số dư tại ngày 01/01/2019,2.490.362.630.000,-,8.977.359.749,116.760.826.787,204.877.658.776,2.820.978.475.312,2490362630000.0,,8977359749.0,116760826787.0,204877658776.0,2820978475312.0
Cổ tức bằng cổ phiếu,Cổ tức bằng cổ phiếu,Cổ tức bằng cổ phiếu,74.682.770.000,15.081.857.924,-,(89.764.627.924),,-,74682770000.0,15081857924.0,,-89764627924.0,,
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,80.031.076.290,21.358.719.434,101.389.795.724,,,,80031076290.0,21358719434.0,101389795724.0
Chi trả cổ tức,Chi trả cổ tức,Chi trả cổ tức,-,-,-,-,(7.200.220.724),(7.200.220.724),,,,,-7200220724.0,-7200220724.0
Trích thường Ban quản lý điều hành,Trích thường Ban quản lý điều hành,Trích thường Ban quản lý điều hành,-,-,-,-,-,-,,,,,,
"Trích quỹ khen thưởng, phúc lợi","Trích thường Ban quản lý điều hành > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(6.117.819.167),-,(6.117.819.167),,,,-6117819167.0,,-6117819167.0
Thay đổi quyền sở hữu trong các công ty con,Trích thường Ban quản lý điều hành > Thay đổi quyền sở hữu trong các công ty con,Thay đổi quyền sở hữu trong các công ty con,-,-,-,(834.742.840),(22.864.624.069),(23.699.366.909),,,,-834742840.0,-22864624069.0,-23699366909.0
Trích quỹ đầu tư phát triển,Trích thường Ban quản lý điều hành > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,3.079.577.956,(3.079.577.956),-,-,,,3079577956.0,-3079577956.0,,
Số dư tại ngày 31/12/2019,Trích thường Ban quản lý điều hành > Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,2.565.045.400.000,15.081.857.924,12.056.937.705,96.995.135.190,196.171.533.417,2.885.350.864.236,2565045400000.0,15081857924.0,12056937705.0,96995135190.0,196171533417.0,2885350864236.0
Số dư đầu năm nay,Trích thường Ban quản lý điều hành > Số dư đầu năm nay,Số dư đầu năm nay,2.565.045.400.000,15.081.857.924,12.056.937.705,96.995.135.190,196.171.533.417,2.885.350.864.236,2565045400000.0,15081857924.0,12056937705.0,96995135190.0,196171533417.0,2885350864236.0
Tăng vốn trong năm này,Trích thường Ban quản lý điều hành > Tăng vốn trong năm này,Tăng vốn trong năm này,-,-,-,-,500.440.000.000,500.440.000.000,,,,,500440000000.0,500440000000.0
Lãi trong năm nay,Trích thường Ban quản lý điều hành > Lãi trong năm nay,Lãi trong năm nay,-,-,-,92.623.742.948,8.385.980.518,101.009.723.466,,,,92623742948.0,8385980518.0,101009723466.0
"Trích quỹ khen thưởng, phúc lợi","Trích thường Ban quản lý điều hành > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(7.430.261.083),(1.561.038.544),(8.991.299.627),,,,-7430261083.0,-1561038544.0,-8991299627.0
Chi trả cổ tức,Trích thường Ban quản lý điều hành > Chi trả cổ tức,Chi trả cổ tức,-,-,-,-,(7.418.369.294),(7.418.369.294),,,,,-7418369294.0,-7418369294.0
Chia cổ tức bằng cổ phiếu,Trích thường Ban quản lý điều hành > Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,-,15.835.481.559,-,(15.835.481.559),-,-,,15835481559.0,,-15835481559.0,,
Phân phối lợi nhuận,Trích thường Ban quản lý điều hành > Phân phối lợi nhuận,Phân phối lợi nhuận,-,1.571.000.000,-,(1.571.000.000),-,-,,1571000000.0,,-1571000000.0,,
Thay đổi quyền sở hữu trong các công ty con,Trích thường Ban quản lý điều hành > Thay đổi quyền sở hữu trong các công ty con,Thay đổi quyền sở hữu trong các công ty con,-,-,-,63.926.079.755,(63.926.079.755),-,,,,63926079755.0,-63926079755.0,
Thay đổi quyền sở hữu trong các công ty liên kết,Trích thường Ban quản lý điều hành > Thay đổi quyền sở hữu trong các công ty liên kết,Thay đổi quyền sở hữu trong các công ty liên kết,-,-,-,(2.671.527.920),-,(2.671.527.920),,,,-2671527920.0,,-2671527920.0
Giảm khác,Trích thường Ban quản lý điều hành > Giảm khác,Giảm khác,-,-,(15.487.500),-,(5.512.500),(21.000.000),,,-15487500.0,,-5512500.0,-21000000.0
Số dư cuối năm nay,Trích thường Ban quản lý điều hành > Số dư cuối năm nay,Số dư cuối năm nay,2.565.045.400.000,32.488.339.483,12.041.450.205,226.036.687.331,632.086.513.842,3.467.698.390.861,2565045400000.0,32488339483.0,12041450205.0,226036687331.0,632086513842.0,3467698390861.0
