row_label_raw,row_label_full,Lãi cho vay,col_1,-,626.076.391,numeric__col_1,numeric__-,numeric__626.076.391
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty liên kết,-,626.076.391,,,626076391.0
Vay,Vay,Vay,,-,18.000.000.000,,,18000000000.0
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty liên kết,-,18.000.000.000,,,18000000000.0
Chuyển tiền hợp tác đầu tư,Chuyển tiền hợp tác đầu tư,Chuyển tiền hợp tác đầu tư,,104.975.000.000,39.110.000.000,,104975000000.0,39110000000.0
Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Bên liên quan,104.975.000.000,39.110.000.000,,104975000000.0,39110000000.0
Số dư tại ngày kết thúc năm tài chính:,Số dư tại ngày kết thúc năm tài chính:,Số dư tại ngày kết thúc năm tài chính:,Số dư tại ngày kết thúc năm tài chính:,Số dư tại ngày kết thúc năm tài chính:,Số dư tại ngày kết thúc năm tài chính:,,,
,,,Mối quan hệ,31/12/2020,01/01/2020,,,
,,,,VND,VND,,,
Phải thu khác,Số dư tại ngày kết thúc năm tài chính: > Phải thu khác,Phải thu khác,,93.320.512.808,21.895.292.808,,93320512808.0,21895292808.0
Ông Trần Việt Anh,Số dư tại ngày kết thúc năm tài chính: > Ông Trần Việt Anh,Ông Trần Việt Anh,Tổng Giám đốc,84.050.000.000,1.250.000.000,,84050000000.0,1250000000.0
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Số dư tại ngày kết thúc năm tài chính: > Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty liên kết,1.145.292.808,1.145.292.808,,1145292808.0,1145292808.0
Phải trả khác,Số dư tại ngày kết thúc năm tài chính: > Phải trả khác,Phải trả khác,,191.449.946.576,10.144.773.971,,191449946576.0,10144773971.0
Công ty Cổ phần Phú Hữu Gia,Số dư tại ngày kết thúc năm tài chính: > Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,191.449.946.576,10.144.773.971,,191449946576.0,10144773971.0
