row_label_raw,row_label_full,col_0,Cáp và vút liệuviếnt thông,Xây dựng và kinhdoanh bất động sản,Đầu tư tài chính vàlĩnh vực khác,Tổng cộng toàndoanh nghiệp,numeric__Cáp và vút liệuviếnt thông,numeric__Xây dựng và kinhdoanh bất động sản,numeric__Đầu tư tài chính vàlĩnh vực khác,numeric__Tổng cộng toàndoanh nghiệp
,,,VND,VND,VND,VND,,,,
Doanh thu thuần từbản hàng ra bên ngoài,Doanh thu thuần từbản hàng ra bên ngoài,Doanh thu thuần từbản hàng ra bên ngoài,1.645.210.267.408,150.424.699.414,123.633.991.848,1.919.268.958.670,1645210267408.0,150424699414.0,123633991848.0,1919268958670.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,68.981.739.271,54.973.783.538,14.174.347.433,138.129.870.242,68981739271.0,54973783538.0,14174347433.0,138129870242.0
Tổng chỉ phí mua tài sản cố định,Tổng chỉ phí mua tài sản cố định,Tổng chỉ phí mua tài sản cố định,30.172.823.527,2.676.866.277,86.752.438.377,119.602.128.181,30172823527.0,2676866277.0,86752438377.0,119602128181.0
Tài sản bộ phận trực tiếp,Tài sản bộ phận trực tiếp,Tài sản bộ phận trực tiếp,1.306.164.418.366,1.215.909.945.091,3.146.822.369.504,5.668.896.732.961,1306164418366.0,1215909945091.0,3146822369504.0,5668896732961.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,1.306.164.418.366,1.215.909.945.091,3.146.822.369.504,5.668.896.732.961,1306164418366.0,1215909945091.0,3146822369504.0,5668896732961.0
Nợ phải trả bộ phận trực tiếp,Nợ phải trả bộ phận trực tiếp,Nợ phải trả bộ phận trực tiếp,796.123.666.861,557.834.756.109,817.536.402.119,2.171.494.825.089,796123666861.0,557834756109.0,817536402119.0,2171494825089.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,29.703.517.011,,,,29703517011.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,796.123.666.861,557.834.756.109,817.536.402.119,2.201.198.342.100,796123666861.0,557834756109.0,817536402119.0,2201198342100.0
