row_label_raw,row_label_full,col_0,col_1,31/12/2020,01/01/2020,numeric__col_1,numeric__31/12/2020,numeric__01/01/2020
,,,,VND,VND,,,
a),a),a),Ngắn hạn,,,,,
,,,Kinh phí công đoàn,772.412.359,-,,772412359.0,
,,,Các khoản bảo hiểm,223.480.419,-,,223480419.0,
,,,Phải trả lãi vay,2.736.905.786,2.428.164.382,,2736905786.0,2428164382.0
,,,"Nhận ký quỹ, ký cược ngắn hạn",3.497.862.867,9.877.159.863,,3497862867.0,9877159863.0
,,,"Cổ tức, lợi nhuận phải trả",2.089.182.909,3.209.531.029,,2089182909.0,3209531029.0
,,,Nhận vốn góp hợp đồng hợp tác đầu tư (1),736.051.628.777,832.500.000.000,,736051628777.0,832500000000.0
,,,Phải trả Upas L/C (2),257.988.961.623,413.600.189.861,,257988961623.0,413600189861.0
,,,Chi phí lãi từ hợp đồng hợp tác đầu tư,103.095.056.399,40.852.554.794,,103095056399.0,40852554794.0
,,,Thu hộ phí bảo trì các dự án (3),20.671.638.797,19.475.868.408,,20671638797.0,19475868408.0
,,,Ký quỹ để chuyển nhượng khoán đầu tư,5.000.000.000,5.000.000.000,,5000000000.0,5000000000.0
,,,"Các khoản phải trả, phải nộp khác",3.038.276.039,6.031.445.881,,3038276039.0,6031445881.0
,,,,1.135.165.405.975,1.332.974.914.218,,1135165405975.0,1332974914218.0
b),b),b),Dải hạn,,,,,
,,,"Nhận ký quỹ, ký cược dài hạn",11.003.404.118,6.756.037.147,,11003404118.0,6756037147.0
,,,,11.003.404.118,6.756.037.147,,11003404118.0,6756037147.0
c),b) > c),c),Trong đó: Phải trả khác là các bên liên quan,191.449.946.576,10.144.773.971,,191449946576.0,10144773971.0
