row_label_raw,row_label_full,col_0,Môi quan hệ,Năm 2020,Năm 2019,numeric__Môi quan hệ,numeric__Năm 2020,numeric__Năm 2019
,,,,VND,VND,,,
Thu nhập và thủ lao,Thu nhập và thủ lao,Thu nhập và thủ lao,Thu nhập và thủ lao,Thu nhập và thủ lao,Thu nhập và thủ lao,,,
Ông Hoàng Lê Sơn,Thu nhập và thủ lao > Ông Hoàng Lê Sơn,Ông Hoàng Lê Sơn,Chủ tịch HDQT,240.000.000,,,240000000.0,
Ông Phương Xuân Thuy,Thu nhập và thủ lao > Ông Phương Xuân Thuy,Ông Phương Xuân Thuy,Thành viên HDQT,232.800.000,,,232800000.0,
Ông Hồ Anh Dũng,Thu nhập và thủ lao > Ông Hồ Anh Dũng,Ông Hồ Anh Dũng,Thành viên HDQT,466.133.334,350.000.000,,466133334.0,350000000.0
Ông Trần Việt Anh,Thu nhập và thủ lao > Ông Trần Việt Anh,Ông Trần Việt Anh,Thành viên HDQT Tổng Giám đốc,1.736.944.620,1.684.144.620,,1736944620.0,1684144620.0
Ông Vũ Đức Hưng,Thu nhập và thủ lao > Ông Vũ Đức Hưng,Ông Vũ Đức Hưng,Thành viên HDQT,95.200.000,,,95200000.0,
Ông Nguyễn Hải Dương,Thu nhập và thủ lao > Ông Nguyễn Hải Dương,Ông Nguyễn Hải Dương,(*),373.333.332,746.666.664,,373333332.0,746666664.0
Ông Chu Đức Tám,Thu nhập và thủ lao > Ông Chu Đức Tám,Ông Chu Đức Tám,(*),53.333.334,80.000.001,,53333334.0,80000001.0
Bà Lé Thị Lan Hương,Thu nhập và thủ lao > Bà Lé Thị Lan Hương,Bà Lé Thị Lan Hương,(*),53.333.334,80.000.001,,53333334.0,80000001.0
Ông Phương Thành Long,Thu nhập và thủ lao > Ông Phương Thành Long,Ông Phương Thành Long,(*),578.322.852,976.645.704,,578322852.0,976645704.0
