row_label_raw,row_label_full,col_0,"Máy móc,thiết bị",Cộng,"numeric__Máy móc,thiết bị",numeric__Cộng
,,,VND,VND,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,11.028.097.716,11.028.097.716,11028097716.0,11028097716.0
- Mua lại tài sản,Nguyên giá > - Mua lại tài sản,- Mua lại tài sản,(11.028.097.716),(11.028.097.716),-11028097716.0,-11028097716.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,-,,
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.253.699.460,1.253.699.460,1253699460.0,1253699460.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,919.008.146,919.008.146,919008146.0,919008146.0
- Mua lại tài sản,Giá trị hao mòn lũy kế > - Mua lại tài sản,- Mua lại tài sản,(2.172.707.606),(2.172.707.606),-2172707606.0,-2172707606.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,-,,
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,9.774.398.256,9.774.398.256,9774398256.0,9774398256.0
Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,-,-,,
