row_label_raw,row_label_full,a),Thuế thu nhập hoãn lại phải trả,31/12/2020,01/01/2020,numeric__Thuế thu nhập hoãn lại phải trả,numeric__31/12/2020,numeric__01/01/2020
,,,,VND,VND,,,
-,-,-,Thuế suất thuế TNDN sử dụng để xác định giá trị thuế thu nhập hoãn lại phải trả,20%,20%,,0.2,0.2
-,-,-,Thuế thu nhập hoãn lại phải trả phát sinh từ các khoản chênh lệch tạm thời chịu thuế,29.703.517.011,25.072.381.471,,29703517011.0,25072381471.0
,,,Thuế thu nhập hoãn lại phải trả,29.703.517.011,25.072.381.471,,29703517011.0,25072381471.0
b),b),b),Chi phí thuế TNDN hoãn lại,Năm 2020,Năm 2019,,,
,,,,VND,VND,,,
-,b) > -,-,Chi phí thuế thu nhập doanh nghiệp hoãn lại phát sinh từ các khoản chênh lệch tạm thời phải chịu thuế,13.373.535.214,2.335.676.473,,13373535214.0,2335676473.0
-,b) > -,-,Chi phí thuế thu nhập doanh nghiệp hoãn lại phát sinh từ việc hoãn nhập tài sản thuế thu nhập hoãn lại,725.326.900,172.733.460,,725326900.0,172733460.0
-,b) > -,-,Thu nhập thuế thu nhập doanh nghiệp hoãn lại phát sinh từ các khoản chênh lệch tạm thời được khấu trừ,(403.385.419),20.572.727,,-403385419.0,20572727.0
-,b) > -,-,Thu nhập thuế thu nhập doanh nghiệp hoãn lại phát sinh từ việc hoãn nhập thuế thu nhập hoãn lại phải trả,(9.064.341.155),,,-9064341155.0,
,,,,4.631.135.540,2.528.982.660,,4631135540.0,2528982660.0
