row_label_raw,row_label_full,col_0,Số phải thuđầu năm,Số phải nộpđầu năm,Số phải nộptrong năm,Số đã thực nộp trongnăm,Số phải thucuối năm,Số phải nộpcuối năm,numeric__Số phải thuđầu năm,numeric__Số phải nộpđầu năm,numeric__Số phải nộptrong năm,numeric__Số đã thực nộp trongnăm,numeric__Số phải thucuối năm,numeric__Số phải nộpcuối năm
,,,VND,VND,VND,VND,VND,VND,,,,,,
Thuế Già trị gia tăng,Thuế Già trị gia tăng,Thuế Già trị gia tăng,-,1.077.558.751,35.155.974.313,35.605.453.952,-,628.079.112,,1077558751.0,35155974313.0,35605453952.0,,628079112.0
Thuế Tiêu thụ đặc biệt,Thuế Tiêu thụ đặc biệt,Thuế Tiêu thụ đặc biệt,-,619.507.579,3.990.833.037,4.270.010.916,-,340.329.700,,619507579.0,3990833037.0,4270010916.0,,340329700.0
"Thuế Xuất khẩu, Nhập khẩu","Thuế Xuất khẩu, Nhập khẩu","Thuế Xuất khẩu, Nhập khẩu",2.465.803,-,1.978.195.624,2.073.222.661,97.492.840,-,2465803.0,,1978195624.0,2073222661.0,97492840.0,
Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,1.542.706.458,15.182.219.535,19.613.124.816,18.185.475.561,-,15.067.162.332,1542706458.0,15182219535.0,19613124816.0,18185475561.0,,15067162332.0
Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,-,2.030.457.200,8.437.104.366,9.499.239.310,-,968.322.256,,2030457200.0,8437104366.0,9499239310.0,,968322256.0
Thuế Tài nguyên,Thuế Tài nguyên,Thuế Tài nguyên,-,-,859.536.530,859.536.530,-,-,,,859536530.0,859536530.0,,
"Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất",-,-,21.551.094,21.551.094,-,-,,,21551094.0,21551094.0,,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,32.607.775,1.538.517.625,1.131.029.885,-,440.095.515,,32607775.0,1538517625.0,1131029885.0,,440095515.0
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",-,-,354.779.754,255.166.038,-,99.613.716,,,354779754.0,255166038.0,,99613716.0
,,,1.545.172.261,18.942.350.840,71.949.617.159,71.900.685.947,97.492.840,17.543.602.631,1545172261.0,18942350840.0,71949617159.0,71900685947.0,97492840.0,17543602631.0
