row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc thiết bị,Quyền sử dụng đất (1),Cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc thiết bị,numeric__Quyền sử dụng đất (1),numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyễn giá,Nguyễn giá,Nguyễn giá,Nguyễn giá,Nguyễn giá,Nguyễn giá,Nguyễn giá,,,,
Số dư đầu năm,Nguyễn giá > Số dư đầu năm,Số dư đầu năm,140.105.412.263,51.666.356.733,2.099.000.000,193.870.768.996,140105412263.0,51666356733.0,2099000000.0,193870768996.0
- Kết chuyển từ bắt động sản dở dang (2),Nguyễn giá > - Kết chuyển từ bắt động sản dở dang (2),- Kết chuyển từ bắt động sản dở dang (2),5.521.509.922,-,-,5.521.509.922,5521509922.0,,,5521509922.0
"- Thanh lý, nhượng bán (2)","Nguyễn giá > - Thanh lý, nhượng bán (2)","- Thanh lý, nhượng bán (2)",(5.521.509.922),-,-,(5.521.509.922),-5521509922.0,,,-5521509922.0
Số dư cuối năm,Nguyễn giá > Số dư cuối năm,Số dư cuối năm,140.105.412.263,51.666.356.733,2.099.000.000,193.870.768.996,140105412263.0,51666356733.0,2099000000.0,193870768996.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,22.850.068.508,18.211.682.727,34.983.333,41.096.734.568,22850068508.0,18211682727.0,34983333.0,41096734568.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,3.422.051.029,2.236.122.275,46.644.444,5.704.817.748,3422051029.0,2236122275.0,46644444.0,5704817748.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(220.860.396),-,-,(220.860.396),-220860396.0,,,-220860396.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,26.051.259.141,20.447.805.002,81.627.777,46.580.691.920,26051259141.0,20447805002.0,81627777.0,46580691920.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,117.255.343.755,33.454.674.006,2.064.016.667,152.774.034.428,117255343755.0,33454674006.0,2064016667.0,152774034428.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,114.054.153.122,31.218.551.731,2.017.372.223,147.290.077.076,114054153122.0,31218551731.0,2017372223.0,147290077076.0
