row_label_raw,row_label_full,Másố,TÀI SẢN,Thuyếtminh,31/12/2020VND,01/01/2020VND,numeric__TÀI SẢN,numeric__Thuyếtminh,numeric__31/12/2020VND,numeric__01/01/2020VND
100,100,100,A. TÀI SẢN NGẮN HẠN,,2.386.824.329.268,2.814.201.256.583,,,2386824329268.0,2814201256583.0
110,110,110,I. Tiền và các khoản tương đương tiền,3,276.490.399.607,201.977.056.819,,3.0,276490399607.0,201977056819.0
111,111,111,1. Tiền,,104.947.321.857,99.257.344.710,,,104947321857.0,99257344710.0
112,112,112,2. Các khoản tương đương tiền,,171.543.077.750,102.719.712.109,,,171543077750.0,102719712109.0
120,120,120,II. Các khoản đầu tư tài chính ngắn hạn,4,84.572.614.837,306.457.161.528,,4.0,84572614837.0,306457161528.0
121,121,121,1. Chứng khoán kinh doanh,,65.542.862.197,343.537.744.467,,,65542862197.0,343537744467.0
122,122,122,2. Dự phòng giảm giá chứng khoán kinh doanh,,(170.247.360),(156.287.073.560),,,-170247360.0,-156287073560.0
123,123,123,3. Đầu tư nằm giữ đến ngày đáo hạn,,19.200.000.000,119.206.490.621,,,19200000000.0,119206490621.0
130,130,130,III. Các khoản phải thu ngắn hạn,,1.505.623.130.487,1.450.970.125.509,,,1505623130487.0,1450970125509.0
131,131,131,1. Phải thu ngắn hạn của khách hàng,5,559.665.977.930,775.147.539.732,,5.0,559665977930.0,775147539732.0
132,132,132,2. Trả trước cho người bản ngắn hạn,6,18.882.694.328,94.443.785.179,,6.0,18882694328.0,94443785179.0
135,135,135,3. Phải thu về cho vay ngắn hạn,7,59.673.701.989,20.000.000.000,,7.0,59673701989.0,20000000000.0
136,136,136,4. Phải thu ngắn hạn khác,8,868.372.244.575,562.131.992.837,,8.0,868372244575.0,562131992837.0
137,137,137,5. Dự phòng phải thu ngắn hạn khó đòi,,(971.488.335),(753.192.239),,,-971488335.0,-753192239.0
140,140,140,IV. Hàng tồn kho,10,478.224.358.195,805.894.640.964,,10.0,478224358195.0,805894640964.0
141,141,141,1. Hàng tồn kho,,478.334.124.270,806.891.299.722,,,478334124270.0,806891299722.0
149,149,149,2. Dự phòng giảm giá hàng tồn kho,,(109.766.075),(996.658.758),,,-109766075.0,-996658758.0
150,150,150,V. Tài sản ngắn hạn khác,,41.913.826.142,48.902.271.763,,,41913826142.0,48902271763.0
151,151,151,1. Chỉ phí trả trước ngắn hạn,16,5.544.404.618,6.665.464.602,,16.0,5544404618.0,6665464602.0
152,152,152,2. Thuế giá trị gia tăng được khấu trừ,,36.271.928.684,40.691.634.900,,,36271928684.0,40691634900.0
153,153,153,3. Thuế và các khoản khác phải thu Nhà nước,20,97.492.840,1.545.172.261,,20.0,97492840.0,1545172261.0
200,200,200,B. TÀI SẢN DÀI HẠN,,3.282.072.403.693,2.396.738.667.767,,,3282072403693.0,2396738667767.0
210,210,210,I. Các khoản phải thu dài hạn,,88.070.321.358,50.405.537.354,,,88070321358.0,50405537354.0
211,211,211,1. Phải thu dài hạn của khách hàng,5,64.922.925.087,25.017.561.373,,5.0,64922925087.0,25017561373.0
216,216,216,2. Phải thu dài hạn khác,8,23.147.396.271,25.387.975.981,,8.0,23147396271.0,25387975981.0
