row_label_raw,row_label_full,col_0,31/12/2020,31/12/2020_1,01/01/2020,01/01/2020_1,numeric__31/12/2020,numeric__31/12/2020_1,numeric__01/01/2020,numeric__01/01/2020_1
,,,Giá gốcVND,Dự phòngVND,Giá gốcVND,Dự phòngVND,,,,
Hàng mua dang di đường,Hàng mua dang di đường,Hàng mua dang di đường,34.284.800.803,-,-,-,34284800803.0,,,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",216.329.298.815,-,277.600.658.408,-,216329298815.0,,277600658408.0,
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",5.522.617.282,-,4.026.042.367,-,5522617282.0,,4026042367.0,
Chỉ phí sản xuất kinhđoanh dở dang (1),Chỉ phí sản xuất kinhđoanh dở dang (1),Chỉ phí sản xuất kinhđoanh dở dang (1),29.765.104.928,-,317.539.981.341,-,29765104928.0,,317539981341.0,
Thành phẩm,Thành phẩm,Thành phẩm,90.325.125.609,-,111.798.153.526,-,90325125609.0,,111798153526.0,
Hàng hoà,Hàng hoà,Hàng hoà,5.504.504.885,(109.766.075),35.360.581.103,(996.658.758),5504504885.0,-109766075.0,35360581103.0,-996658758.0
Hàng gửi di bán (2),Hàng gửi di bán (2),Hàng gửi di bán (2),96.602.671.948,-,27.330.132.726,-,96602671948.0,,27330132726.0,
Hàng hóa bắt động sản,Hàng hóa bắt động sản,Hàng hóa bắt động sản,-,-,33.235.750.251,-,,,33235750251.0,
,,,478.334.124.270,(109.766.075),806.891.299.722,(996.658.758),478334124270.0,-109766075.0,806891299722.0,-996658758.0
