row_label_raw,row_label_full,Loại tài sản cố định,Số năm,numeric__Số năm
"Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc",05 – 50,
Máy móc và thiết bị,Máy móc và thiết bị,Máy móc và thiết bị,05 – 10,
"Phương tiện vận tải, truyền dẫn","Máy móc và thiết bị > Phương tiện vận tải, truyền dẫn","Phương tiện vận tải, truyền dẫn",06,6.0
"Thiết bị, dụng cụ quản lý","Thiết bị, dụng cụ quản lý","Thiết bị, dụng cụ quản lý",05 – 08,
