row_label_raw,row_label_full,col_0,Lĩnh vực bán vế câu dưỡng,Lĩnh vực kinh doanh bất động sản,Lĩnh vực kinh doanh bất động sản đầu tư,Lĩnh vực xây dựng,Hợp đồng hợp tác kinh doanh,Các lĩnh vực khác,Các khoản loại trừ,Cộng,numeric__Lĩnh vực bán vế câu dưỡng,numeric__Lĩnh vực kinh doanh bất động sản,numeric__Lĩnh vực kinh doanh bất động sản đầu tư,numeric__Lĩnh vực xây dựng,numeric__Hợp đồng hợp tác kinh doanh,numeric__Các lĩnh vực khác,numeric__Các khoản loại trừ,numeric__Cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,,
Doanh thu thuần về bản hàng và cung cấp dịch vụ ra bên ngoài,Năm trước > Doanh thu thuần về bản hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bản hàng và cung cấp dịch vụ ra bên ngoài,212.921.819.087,239.214.692.534,3.334.249.283,,,123.595.029.008,,579.065.789.912,212921819087.0,239214692534.0,3334249283.0,,,123595029008.0,,579065789912.0
Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phân,Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phân,Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phân,,,,,,,,,,,,,,,,
Tổng doanh thu thuần về bản hàng và cung cấp dịch vụ,Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phân > Tổng doanh thu thuần về bản hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bản hàng và cung cấp dịch vụ,212.921.819.087,239.214.692.534,3.334.249.283,,,123.595.029.008,,579.065.789.912,212921819087.0,239214692534.0,3334249283.0,,,123595029008.0,,579065789912.0
Kết quả kinh doanh theo bộ phân,Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phân > Kết quả kinh doanh theo bộ phân,Kết quả kinh doanh theo bộ phân,136.351.826.893,(30.986.676.473),(2.270.399.093),,,8.071.917.713,,111.166.669.040,136351826893.0,-30986676473.0,-2270399093.0,,,8071917713.0,,111166669040.0
Các chỉ phí không phân bổ theo bộ phân,Các chỉ phí không phân bổ theo bộ phân,Các chỉ phí không phân bổ theo bộ phân,,,,,,,,,,,,,,,,
Lợi nhuận từ hoạt động kinh doanh,Các chỉ phí không phân bổ theo bộ phân > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,,111.166.669.040,,,,,,,,111166669040.0
Doanh thu hoạt động tài chính,Các chỉ phí không phân bổ theo bộ phân > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,8.854.739.449,,,,,,,,8854739449.0
Chi phí tải chính,Chi phí tải chính,Chi phí tải chính,,,,,,,,,,,,,,,,
Thu nhập khác,Chi phí tải chính > Thu nhập khác,Thu nhập khác,,,,,,,,16.628.445.767,,,,,,,,16628445767.0
Chi phí khác,Chi phí tải chính > Chi phí khác,Chi phí khác,,,,,,,,(105.567.135),,,,,,,,-105567135.0
Chi phí thuê thu nhập doanh nghiệp hiện hành,Chi phí tải chính > Chi phí thuê thu nhập doanh nghiệp hiện hành,Chi phí thuê thu nhập doanh nghiệp hiện hành,,,,,,,,(21.929.842.611),,,,,,,,-21929842611.0
Chi phí thuê thu nhập doanh nghiệp hoàn lại,Chi phí thuê thu nhập doanh nghiệp hoàn lại,Chi phí thuê thu nhập doanh nghiệp hoàn lại,,,,,,,,,,,,,,,,
Lợi nhuận sau thuê thu nhập doanh nghiệp,Chi phí thuê thu nhập doanh nghiệp hoàn lại > Lợi nhuận sau thuê thu nhập doanh nghiệp,Lợi nhuận sau thuê thu nhập doanh nghiệp,,,,,,,,114.614.444.510,,,,,,,,114614444510.0
Tổng chi phí đã phát sinh để mua tài sản có định và các tài sản dài hạn khác,Chi phí thuê thu nhập doanh nghiệp hoàn lại > Tổng chi phí đã phát sinh để mua tài sản có định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản có định và các tài sản dài hạn khác,14.344.666.508,5.850.000,,,,6.055.949.062,,20.406.465.570,14344666508.0,5850000.0,,,,6055949062.0,,20406465570.0
Tổng chi phí khấu hao và phân bổ chỉ phí trả trước dài hạn,Chi phí thuê thu nhập doanh nghiệp hoàn lại > Tổng chi phí khấu hao và phân bổ chỉ phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chỉ phí trả trước dài hạn,33.212.417.411,,3.895.639.171,,,8.433.601.352,,45.541.657.934,33212417411.0,,3895639171.0,,,8433601352.0,,45541657934.0
