row_label_raw,row_label_full,col_0,Lĩnh vực bán vế cầu đường,Lĩnh vực kinh doanh bất động sản,Lĩnh vực kinh doanh bất động,Lĩnh vực xây dựng,Hợp đồng hợp tác kinh doanh,Các lĩnh vực khác,Các khoản loại trừ,Cộng,numeric__Lĩnh vực bán vế cầu đường,numeric__Lĩnh vực kinh doanh bất động sản,numeric__Lĩnh vực kinh doanh bất động,numeric__Lĩnh vực xây dựng,numeric__Hợp đồng hợp tác kinh doanh,numeric__Các lĩnh vực khác,numeric__Các khoản loại trừ,numeric__Cộng
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,,,,,,
Tài sản trực tiếp của bộ phận,Số cuối năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,551.656.260.438,7.603.169.757.988,172.838.983.914,107.089.589.384,483.162.809.705,25.688.797.182,,8.943.606.198.611,551656260438.0,7603169757988.0,172838983914.0,107089589384.0,483162809705.0,25688797182.0,,8943606198611.0
Các tài sản không phân bổ theo bộ phận,Số cuối năm > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,,,,,152.593.148.726,,,,,,,,152593148726.0
Tổng tài sản,Số cuối năm > Tổng tài sản,Tổng tài sản,,,,,,,,9.096.199.347.337,,,,,,,,9096199347337.0
Nợ phải trả trực tiếp của bộ phận,Số cuối năm > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,42 497.091.646,4.925.294.763.442,206.876.741.738,222.075.317.409,,160.115.907,,5.396.904.030.142,,4925294763442.0,206876741738.0,222075317409.0,,160115907.0,,5396904030142.0
Nợ phải trả không phân bổ theo bộ phận,Số cuối năm > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,,,,739.112.476.079,,,,,,,,739112476079.0
Tổng nợ phải trả,Số cuối năm > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,,6.136.016.506.221,,,,,,,,6136016506221.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,,,
Tài sản trực tiếp của bộ phận,Số đầu năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,542.566.559.385,5.746.809.710.485,174.285.075.621,,499.948.062.076,89.304.513.250,,7.052.913.920.817,542566559385.0,5746809710485.0,174285075621.0,,499948062076.0,89304513250.0,,7052913920817.0
Các tài sản không phân bổ theo bộ phận,Số đầu năm > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,,,,,242.093.072.951,,,,,,,,242093072951.0
Tổng tài sản,Số đầu năm > Tổng tài sản,Tổng tài sản,,,,,,,,7.295.006.993.768,,,,,,,,7295006993768.0
Nợ phải trả trực tiếp của bộ phân,Số đầu năm > Nợ phải trả trực tiếp của bộ phân,Nợ phải trả trực tiếp của bộ phân,41.200.000.000,3.288.105.877.041,207.525.030.357,,,123.631.606.274,,3.660.462.513.672,41200000000.0,3288105877041.0,207525030357.0,,,123631606274.0,,3660462513672.0
Nợ phải trả không phân bổ theo bộ phân,Số đầu năm > Nợ phải trả không phân bổ theo bộ phân,Nợ phải trả không phân bổ theo bộ phân,,,,,,,,681.147.661.570,,,,,,,,681147661570.0
Tổng nợ phải trả,Số đầu năm > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,,4.341.610.175.242,,,,,,,,4341610175242.0
