row_label_raw,row_label_full,col_0,Số cuối năm > Thời gian quá hạn,Số cuối năm > Giá gốc,Số cuối năm > Giá trị có thể thu hồi,Số đầu năm > Thời gian quá hạn,Số đầu năm > Giá gốc,Số đầu năm > Giá trị có thể thu hồi,numeric__Số cuối năm > Thời gian quá hạn,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị có thể thu hồi,numeric__Số đầu năm > Thời gian quá hạn,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị có thể thu hồi
Các bên liên quan,Các bên liên quan,Các bên liên quan,,2.588.368.000,2.588.368.000,,1.975.869.000,1.975.869.000,,2588368000.0,2588368000.0,,1975869000.0,1975869000.0
Tổng Công ty Đầu tư và Phát triển Công nghiệp - TNHH MTV,Tổng Công ty Đầu tư và Phát triển Công nghiệp - TNHH MTV,Tổng Công ty Đầu tư và Phát triển Công nghiệp - TNHH MTV,,,,,,,,,,,,
Phải thu tiền bán bắt động sản,Tổng Công ty Đầu tư và Phát triển Công nghiệp - TNHH MTV > Phải thu tiền bán bắt động sản,Phải thu tiền bán bắt động sản,Dưới 06 tháng -*,2.588.368.000,2.588.368.000,Dưới 06 tháng,1.975.869.000,1.975.869.000,,2588368000.0,2588368000.0,,1975869000.0,1975869000.0
Các tổ chức và cả nhân khác,Tổng Công ty Đầu tư và Phát triển Công nghiệp - TNHH MTV > Các tổ chức và cả nhân khác,Các tổ chức và cả nhân khác,,421.604.630.738,421.604.630.738,,478.905.215.631,478.905.215.631,,421604630738.0,421604630738.0,,478905215631.0,478905215631.0
Công ty Cổ phần Dịch vụ Thương mại và Xây dựng Địa ốc Kim Oanh,Công ty Cổ phần Dịch vụ Thương mại và Xây dựng Địa ốc Kim Oanh,Công ty Cổ phần Dịch vụ Thương mại và Xây dựng Địa ốc Kim Oanh,,,,,,,,,,,,
Phải thu tiền bán bắt động sản,Công ty Cổ phần Dịch vụ Thương mại và Xây dựng Địa ốc Kim Oanh > Phải thu tiền bán bắt động sản,Phải thu tiền bán bắt động sản,Dưới 06 tháng,-,-,Dưới 06 tháng,69.670.216.728,69.670.216.728,,,,,69670216728.0,69670216728.0
,,,Từ 06 tháng đến 01 năm,-,-,Từ 06 tháng đến 01 năm,3.134.962.500,3.134.962.500,,,,,3134962500.0,3134962500.0
,,,Từ 01 đến 02 năm,11.040.337.991,11.040.337.991,Từ 01 đến 02 năm,-,-,,11040337991.0,11040337991.0,,,
Phải thu các tổ chức và cả nhân khác,Phải thu các tổ chức và cả nhân khác,Phải thu các tổ chức và cả nhân khác,,,,,,,,,,,,
Phải thu tiền bán bắt động sản,Phải thu các tổ chức và cả nhân khác > Phải thu tiền bán bắt động sản,Phải thu tiền bán bắt động sản,Dưới 06 tháng,71.729.327.654,71.729.327.654,Dưới 06 tháng,168.787.962.143,168.787.962.143,,71729327654.0,71729327654.0,,168787962143.0,168787962143.0
,,,Từ 06 tháng đến 01 năm,55.786.348.275,55.786.348.275,Từ 06 tháng đến 01 năm,64.440.874.089,64.440.874.089,,55786348275.0,55786348275.0,,64440874089.0,64440874089.0
,,,Từ 01 đến 02 năm,130.424.801.762,130.424.801.762,Từ 01 đến 02 năm,70.535.856.378,70.535.856.378,,130424801762.0,130424801762.0,,70535856378.0,70535856378.0
,,,Từ 02 đến 03 năm,66.748.670.978,66.748.670.978,Từ 02 đến 03 năm,39.898.034.393,39.898.034.393,,66748670978.0,66748670978.0,,39898034393.0,39898034393.0
,,,Trên 03 năm,85.875.144.078,85.875.144.078,Trên 03 năm,62.437.309.400,62.437.309.400,,85875144078.0,85875144078.0,,62437309400.0,62437309400.0
Cộng,Phải thu các tổ chức và cả nhân khác > Cộng,Cộng,,424.192.998.738,424.192.998.738,,480.881.084.631,480.881.084.631,,424192998738.0,424192998738.0,,480881084631.0,480881084631.0
